race_id,competition_id,series_key,country,year,course_id,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
40,1534026076,copenhagen_marathon,DEN,2022,1.0,13.659,12.69,14.18,74.1,3.0
41,4126125815,copenhagen_marathon,DEN,2023,1.0,18.556,15.594,16.677,74.1,3.0
42,2522341008,copenhagen_marathon,DEN,2024,1.0,12.899,13.166,14.319,74.1,3.0
43,2642558794,copenhagen_marathon,DEN,2025,1.0,10.909,9.46,11.511,74.1,3.0
230,1297646170,dublin_marathon,IRL,2014,1.0,15.843,15.424,16.015,182.6,-5.2
231,3822603761,dublin_marathon,IRL,2015,1.0,12.993,11.937,13.28,182.6,-5.2
232,1853699388,dublin_marathon,IRL,2016,1.0,11.236,10.828,14.674,182.6,-5.2
233,2498180017,dublin_marathon,IRL,2017,1.0,12.015,10.973,11.716,182.6,-5.2
234,3608470639,dublin_marathon,IRL,2018,1.0,7.076,6.082,8.623,182.6,-5.2
235,2975264854,dublin_marathon,IRL,2019,1.0,6.17,5.94,10.144,182.6,-5.2
236,3452560557,dublin_marathon,IRL,2022,1.0,13.51,12.468,14.174,182.6,-5.2
237,928244256,dublin_marathon,IRL,2023,1.0,9.522,9.304,12.094,182.6,-5.2
238,1687172776,dublin_marathon,IRL,2024,1.0,7.771,6.44,10.384,182.6,-5.2
239,3390109955,dublin_marathon,IRL,2025,1.0,7.758,6.893,11.595,182.6,-5.2
125,2204774558,edinburgh_marathon,GBR,2014,1.0,12.293,12.784,13.245,73.4,-79.4
126,2294272324,edinburgh_marathon,GBR,2015,1.0,10.213,9.198,9.827,73.4,-79.4
127,3453514267,edinburgh_marathon,GBR,2016,1.0,12.853,13.661,14.655,73.4,-79.4
128,1666760112,edinburgh_marathon,GBR,2017,1.0,16.805,16.13,17.929,73.4,-79.4
129,3899240956,edinburgh_marathon,GBR,2018,1.0,13.954,13.803,15.188,73.4,-79.4
130,1189707351,edinburgh_marathon,GBR,2019,1.0,13.86,13.425,13.586,73.4,-79.4
131,1852613514,edinburgh_marathon,GBR,2022,1.0,11.693,10.224,11.068,73.4,-79.4
132,3236719649,edinburgh_marathon,GBR,2023,1.0,12.244,11.257,12.938,73.4,-79.4
133,2469378217,edinburgh_marathon,GBR,2024,1.0,12.902,13.292,15.558,73.4,-79.4
134,324624260,edinburgh_marathon,GBR,2025,1.0,13.363,11.82,12.465,73.4,-79.4
311,1602354248,eindhoven_marathon,NED,2017,1.0,13.525,13.494,14.329,30.9,-1.9
312,50309119,eindhoven_marathon,NED,2018,1.0,20.692,18.049,20.09,30.9,-1.9
313,3747942878,eindhoven_marathon,NED,2019,1.0,19.451,18.789,21.092,30.9,-1.9
314,11097454,eindhoven_marathon,NED,2021,1.0,10.498,11.91,15.871,30.9,-1.9
315,1387651698,eindhoven_marathon,NED,2022,1.0,12.196,11.715,15.282,30.9,-1.9
316,4231343577,eindhoven_marathon,NED,2023,1.0,16.849,17.101,18.614,30.9,-1.9
317,178509600,eindhoven_marathon,NED,2024,1.0,10.719,9.557,10.766,30.9,-1.9
318,2753763467,eindhoven_marathon,NED,2025,1.0,14.375,13.312,14.402,30.9,-1.9
240,3407445708,florence_marathon,ITA,2024,1.0,7.717,5.996,11.342,66.0,1.1
241,3234635542,florence_marathon,ITA,2025,1.0,4.137,2.746,10.99,66.0,1.1
193,2744310321,frankfurt_marathon,GER,2015,1.0,12.927,12.451,13.999,77.9,-1.0
194,398106169,frankfurt_marathon,GER,2016,1.0,9.092,9.718,13.612,77.9,-1.0
195,3978336436,frankfurt_marathon,GER,2017,1.0,11.633,9.577,9.823,77.9,-1.0
196,2933084010,frankfurt_marathon,GER,2018,1.0,6.504,4.679,5.077,77.9,-1.0
197,3364969299,frankfurt_marathon,GER,2019,1.0,13.797,13.035,13.587,77.9,-1.0
198,3020836776,frankfurt_marathon,GER,2022,1.0,17.101,16.338,19.468,77.9,-1.0
199,1318340901,frankfurt_marathon,GER,2023,1.0,12.654,12.478,13.202,77.9,-1.0
200,492281261,frankfurt_marathon,GER,2024,1.0,12.892,12.978,15.099,77.9,-1.0
201,3017232902,frankfurt_marathon,GER,2025,1.0,8.085,6.566,7.954,77.9,-1.0
1,244404183,goldcoast_marathon,AUS,2025,2.0,17.605,16.65,21.367,45.5,-4.5
202,2998712420,hamburg_marathon,GER,2018,1.0,15.4,14.613,15.684,117.1,0.0
203,473724879,hamburg_marathon,GER,2019,1.0,8.453,7.952,8.627,117.1,0.0
204,449527753,hamburg_marathon,GER,2021,1.0,18.665,18.31,19.529,117.1,0.0
205,221550295,hamburg_marathon,GER,2022,1.0,10.73,9.456,11.088,117.1,0.0
206,3501072630,hamburg_marathon,GER,2023,1.0,12.532,11.968,15.345,117.1,0.0
207,3388649777,hamburg_marathon,GER,2024,1.0,17.439,15.195,17.062,117.1,0.0
