series_key,year,race_date,distance_m,competition_id,finisher_count,start_info,has_individual_start,has_repr_start,frac_individual_start,frac_per_runner_clock,frac_gun_and_chip,anchor_source,anchor_fallback,anchor_local,anchor_is_range,weather_model,wbgt_method,n_oncourse_points,window_start_local,window_end_local,dur_median_min,dur_p10_min,dur_p90_min,wbgt_field,temp_field,wind_field,precip_total_mm,wbgt_max,wbgt_rising_slope_c_per_h,wbgt_spatial_spread,wbgt_anchor_sens
boston_marathon,2019,2019-04-15,42195.0,1430335227,26639,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:50,False,era5,thermofeel,10,09:00,18:00,225.6,180.3,297.6,15.457,16.199,4.697,7.93,16.426,0.581,1.093,0.0
boston_marathon,2021,2021-10-11,42195.0,813491576,15384,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:00,False,era5,thermofeel,10,08:00,18:00,225.2,179.9,300.0,19.233,19.467,2.907,0.0,20.621,0.8936,1.19,0.0
boston_marathon,2022,2022-04-18,42195.0,1395841952,24828,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:31,False,era5,thermofeel,10,09:00,18:00,217.6,176.8,288.1,8.902,11.195,3.026,0.0,9.912,0.6023,1.329,0.0
boston_marathon,2023,2023-04-17,42195.0,896585625,26622,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:50,False,era5,thermofeel,10,09:00,19:00,213.9,174.8,286.5,12.472,11.95,3.294,2.04,13.596,0.2475,1.149,0.0
boston_marathon,2024,2024-04-15,42195.0,2156390405,25550,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:33,False,era5,thermofeel,10,09:00,18:00,223.4,178.6,303.6,16.303,18.926,3.254,0.1,16.698,1.5572,1.017,0.0
boston_marathon,2025,2025-04-21,42195.0,2410142178,28404,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:34,False,era5,thermofeel,10,09:00,18:00,213.6,173.2,290.7,10.256,13.095,2.421,0.0,11.679,0.8456,1.195,0.0
boston_marathon,2026,2026-04-20,42195.0,2309072856,29025,individual,True,False,1.0,1.0,0.9999,individual_starts,own,10:41,False,era5,thermofeel,10,09:00,18:00,208.6,169.6,284.8,7.649,8.758,3.428,0.44,8.287,0.7399,1.002,0.0
brighton_marathon,2022,2022-04-10,42195.0,2703233590,8398,representative,False,True,0.0,0.0,0.0,db_start_time,own,09:00,False,era5,thermofeel,10,09:00,19:00,261.6,206.5,333.8,9.206,9.861,3.07,0.0,10.355,0.6721,0.279,0.982
brighton_marathon,2023,2023-04-02,42195.0,3656354406,8336,individual,True,False,0.9992,0.9992,0.9983,individual_starts,own,10:01,False,era5,thermofeel,10,09:00,20:00,259.1,203.7,331.8,7.359,8.358,5.494,0.0,9.358,0.4013,0.189,0.0
brighton_marathon,2024,2024-04-07,42195.0,142196787,11292,individual,True,False,1.0,1.0,1.0,individual_starts,own,10:16,False,era5,thermofeel,10,09:00,24:00,265.3,209.2,339.6,12.57,13.871,9.978,0.7,13.243,0.2219,0.243,0.0
brighton_marathon,2025,2025-04-06,42195.0,2801340312,12582,individual,True,False,1.0,1.0,0.9996,individual_starts,own,10:10,False,era5,thermofeel,10,09:00,20:00,269.5,213.7,347.1,11.908,13.816,5.631,0.0,13.054,0.7545,0.266,0.0
brighton_marathon,2026,2026-04-12,42195.0,95051731,14030,individual,True,True,1.0,1.0,1.0,catalogue_start_time,own,08:45,False,era5,thermofeel,10,09:00,20:00,266.6,208.7,344.6,10.646,12.116,7.618,1.04,11.14,0.4656,0.246,0.0
cape_town_marathon,2022,2022-10-16,42195.0,1382956143,9203,individual,True,False,1.0,1.0,1.0,individual_starts,own,06:33,False,era5,thermofeel,10,06:00,14:00,285.6,214.6,360.6,18.52,19.351,2.098,0.2,24.051,1.6614,0.166,0.0
cape_town_marathon,2023,2023-10-15,42195.0,3524844354,13325,individual,True,False,1.0,0.9963,1.0,individual_starts,own,06:39,False,era5,thermofeel,10,06:00,15:00,277.8,209.6,354.5,16.956,18.807,5.164,0.0,21.806,1.1419,0.157,0.005
cape_town_marathon,2024,2024-10-20,42195.0,3904449044,16500,individual,True,False,1.0,0.9984,1.0,individual_starts,own,06:41,False,era5,thermofeel,10,06:00,14:00,274.2,208.1,350.7,14.442,16.776,6.121,0.0,17.847,1.076,0.126,0.002
chester_marathon,2016,2016-10-02,42195.0,1684466769,2156,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:03,False,era5,thermofeel,10,09:00,16:00,244.1,194.4,308.0,12.039,10.845,0.947,0.0,16.736,1.3279,0.793,1.82
chester_marathon,2017,2017-10-08,42195.0,1219738919,2587,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:03,False,era5,thermofeel,10,09:00,16:00,239.7,190.6,306.3,13.652,13.802,2.87,0.39,15.057,0.7458,0.449,0.729
chester_marathon,2018,2018-10-07,42195.0,3280122219,2786,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:03,False,era5,thermofeel,10,09:00,16:00,236.0,184.5,297.4,8.784,8.831,3.215,0.0,11.951,1.75,0.777,1.757
chester_marathon,2019,2019-10-06,42195.0,1828880064,3077,individual,True,False,1.0,0.0,1.0,series_median,series_median,09:03,False,era5,thermofeel,10,09:00,16:00,247.1,194.6,310.3,13.667,13.848,5.457,0.78,14.794,0.6597,0.464,0.626
chester_marathon,2021,2021-10-03,42195.0,3251913722,1682,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:02,False,era5,thermofeel,10,09:00,16:00,254.4,197.3,318.1,11.576,12.328,6.017,0.06,13.86,0.6952,0.44,0.0
chester_marathon,2022,2022-10-02,42195.0,3352444352,2360,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:03,False,era5,thermofeel,10,09:00,16:00,242.7,187.5,307.9,13.795,14.439,3.996,0.0,14.702,1.4407,0.316,0.0
chester_marathon,2023,2023-10-08,42195.0,3943132342,3391,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:03,False,era5,thermofeel,10,09:00,16:00,250.1,191.9,318.2,16.496,17.291,2.335,0.0,20.301,1.1426,0.482,0.0
chester_marathon,2024,2024-10-06,42195.0,3099899966,4519,individual,True,False,1.0,1.0,1.0,individual_starts,own,09:05,False,era5,thermofeel,10,09:00,16:00,242.2,191.1,310.2,12.444,12.932,5.26,1.55,13.119,0.5692,0.452,0.0
chester_marathon,2025,2025-10-05,42195.0,951213843,4913,individual,True,False,1.0,0.9988,1.0,individual_starts,own,09:04,False,era5,thermofeel,10,09:00,16:00,243.6,192.5,314.7,11.902,13.355,8.169,0.1,13.416,0.6806,0.314,0.001
chicago_marathon,2014,2014-10-12,42195.0,921594309,40606,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:04,False,era5,thermofeel,10,07:00,17:00,267.4,206.6,350.4,9.58,10.39,4.16,0.36,13.933,1.5558,0.608,0.0
chicago_marathon,2015,2015-10-11,42195.0,3063451368,37443,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:03,False,era5,thermofeel,10,07:00,17:00,270.8,207.5,350.6,14.234,16.317,5.843,0.0,20.557,1.364,0.162,0.0
chicago_marathon,2016,2016-10-09,42195.0,4093586871,40557,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:07,False,era5,thermofeel,10,07:00,18:00,268.4,207.1,352.8,12.416,13.516,3.522,0.0,14.996,0.6619,0.636,0.0
chicago_marathon,2017,2017-10-08,42195.0,1568662044,44350,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:08,False,era5,thermofeel,10,07:00,20:00,282.7,211.2,371.4,16.897,17.958,2.896,0.0,21.947,1.058,0.29,0.0
chicago_marathon,2018,2018-10-07,42195.0,3595497040,44551,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:09,False,era5,thermofeel,10,07:00,19:00,267.5,204.1,354.5,14.152,14.438,4.059,4.76,14.947,0.0803,0.994,0.0
chicago_marathon,2019,2019-10-13,42195.0,3717926794,45867,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:09,False,era5,thermofeel,10,07:00,18:00,262.1,198.3,353.9,6.059,7.853,6.338,0.0,9.093,0.8203,0.568,0.0
chicago_marathon,2021,2021-10-10,42195.0,39275322,26081,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:06,False,era5,thermofeel,10,07:00,18:00,278.7,208.2,364.8,21.479,22.386,6.296,0.0,23.012,0.3246,0.263,0.0
chicago_marathon,2022,2022-10-09,42195.0,1347157030,39305,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:10,False,era5,thermofeel,10,07:00,18:00,261.7,194.5,356.0,9.619,12.109,4.67,0.0,16.053,1.5062,0.141,0.0
chicago_marathon,2023,2023-10-08,42195.0,4274729869,48428,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:04,False,era5,thermofeel,10,07:00,18:00,251.6,189.1,346.6,8.437,10.142,3.735,0.12,10.818,0.8084,0.225,0.0
chicago_marathon,2024,2024-10-13,42195.0,140364148,52064,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:12,False,era5,thermofeel,10,07:00,19:00,250.5,189.3,344.4,13.969,14.998,3.557,0.88,15.886,0.5389,0.432,0.0
chicago_marathon,2025,2025-10-12,42195.0,2799503071,54327,individual,True,False,1.0,1.0,0.0,individual_starts,own,08:16,False,era5,thermofeel,10,07:00,19:00,253.1,187.1,350.6,13.681,14.269,2.976,0.0,17.536,1.1169,0.523,0.0
cologne_marathon,2018,2018-10-07,42195.0,485645462,18726,none,False,False,0.2545,0.0,0.2545,series_median,series_median,10:36,False,era5,thermofeel,9,10:00,18:00,131.4,96.8,258.2,11.404,12.637,4.451,0.0,13.567,0.6966,0.099,0.601
cologne_marathon,2019,2019-10-13,42195.0,388480332,18108,none,False,False,0.2378,0.0,0.2378,series_median,series_median,10:36,False,era5,thermofeel,9,10:00,24:00,136.1,101.1,269.2,18.632,19.615,4.828,0.0,21.816,0.846,0.1,0.944
cologne_marathon,2022,2022-10-02,42195.0,413323325,10846,none,False,False,0.265,0.0,0.265,series_median,series_median,10:36,False,era5,thermofeel,9,10:00,17:00,134.2,103.4,261.1,14.246,14.453,4.064,1.2,15.961,0.5341,0.101,0.498
cologne_marathon,2023,2023-10-01,42195.0,2564044560,3787,individual,True,False,1.0,0.9971,0.9992,individual_starts,own,10:35,False,era5,thermofeel,9,10:00,17:00,249.0,196.7,304.3,18.591,19.537,2.665,0.0,21.997,1.1731,0.099,0.005
cologne_marathon,2024,2024-10-06,42195.0,1739871683,5653,individual,True,False,1.0,0.9981,0.9928,individual_starts,own,10:36,False,era5,thermofeel,9,10:00,17:00,240.1,196.7,297.1,11.462,11.978,5.326,0.0,13.532,0.8799,0.099,0.002
cologne_marathon,2025,2025-10-05,42195.0,3888296686,7958,individual,True,False,1.0,0.9984,0.9962,individual_starts,own,10:41,False,era5,thermofeel,9,10:00,17:00,242.1,195.9,299.8,11.193,11.975,6.867,0.7,12.236,0.4923,0.1,0.001
copenhagen_marathon,2014,2014-05-18,42195.0,2702370315,9623,individual,True,False,1.0,0.9998,1.0,individual_starts,own,09:36,False,era5,thermofeel,9,09:00,17:00,238.6,201.2,287.3,15.684,16.499,3.681,4.6,16.175,0.7541,0.097,0.0
copenhagen_marathon,2015,2015-05-24,42195.0,367687156,9219,individual,True,False,1.0,0.9996,1.0,individual_starts,own,09:36,False,era5,thermofeel,9,09:00,17:00,239.0,199.5,290.3,11.225,11.692,3.494,0.0,13.75,0.6914,0.097,0.0
copenhagen_marathon,2016,2016-05-22,42195.0,2005755399,8371,individual,True,False,1.0,0.999,1.0,individual_starts,own,09:35,False,era5,thermofeel,9,09:00,17:00,253.1,208.6,307.0,18.468,20.279,6.147,0.0,19.555,0.4268,0.097,0.001
copenhagen_marathon,2017,2017-05-21,42195.0,4160454954,8154,individual,True,False,1.0,0.9984,1.0,individual_starts,own,09:36,False,era5,thermofeel,9,09:00,17:00,242.6,201.3,297.0,14.222,16.071,4.743,0.0,15.888,0.4008,0.095,0.001
copenhagen_marathon,2018,2018-05-13,42195.0,1722994994,7413,individual,True,False,1.0,0.9984,1.0,individual_starts,own,09:33,False,era5,thermofeel,9,09:00,17:00,248.6,202.7,304.7,17.71,20.425,5.005,0.0,18.945,0.9562,0.094,0.001
copenhagen_marathon,2019,2019-05-19,42195.0,1248297028,10806,individual,True,False,1.0,0.9994,1.0,individual_starts,own,09:35,False,era5,thermofeel,9,09:00,18:00,249.9,204.1,308.5,16.7,16.402,3.704,0.9,19.649,0.9648,0.092,0.001
