slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
ALL_W_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,2,509659.83855624986,70904.55829843391,0.9301276160411632,0.08254573224220325,76231,0,136
ALL_W_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,3,480107.9534898272,63074.48815892501,0.8262636488062801,0.07912535894481061,76337,0,47
ALL_W_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,3,509574.6760170334,70608.33258474153,0.9249555600133818,0.08127679163000692,76337,0,164
ALL_W_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,4,479585.5502547471,64202.97393226551,0.8420945664104498,0.07872559262128638,76242,0,60
ALL_W_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,4,509251.6998316754,71220.13716897863,0.9341325931767088,0.08310698194674733,76242,0,145
ALL_W_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,0,480436.6329123847,65731.15321790295,0.8618783612129147,0.07795710212879978,76265,0,69
ALL_W_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,0,508752.986946826,72158.08609677135,0.9461494276112418,0.07973138287375187,76265,0,124
ALL_W_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,1,480809.87942826404,65550.09878495727,0.8630009319205497,0.07793816560098168,75956,0,54
ALL_W_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,1,509177.9173172129,72022.09212455041,0.9482080694685135,0.07984986792283674,75956,0,224
ALL_W_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,2,481741.04024158826,63337.442680263295,0.8308620204413335,0.07875235247250244,76231,0,44
ALL_W_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,2,509846.71964051115,70979.86791791143,0.9311155293504142,0.0803093923812952,76231,0,257
ALL_W_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,3,481547.474365092,63125.24464160123,0.8269285489553065,0.07888024849812582,76337,0,33
ALL_W_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,3,509697.5610534977,70761.66535285981,0.9269641897488742,0.07964349615420542,76337,0,132
ALL_W_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,4,480891.96094262577,64650.12260662491,0.84795942664968,0.07833861410383015,76242,0,66
ALL_W_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,4,509261.78174100514,71460.64569204637,0.9372871342835494,0.07999071952448657,76242,0,152
ALL_W_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,0,479206.8609220414,64993.78187046851,0.8522098193203764,0.07845362150580751,76265,0,60
ALL_W_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,0,508745.207504389,71869.09068720511,0.9423600693267569,0.08343436117516331,76265,0,113
ALL_W_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,1,479466.4821300415,65121.109940560644,0.8573530720490895,0.07832226444930834,75956,0,53
ALL_W_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,1,508995.1546184323,71901.95556811318,0.9466264096070511,0.0831243309898479,75956,0,161
ALL_W_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,2,480359.75852913293,63066.98743512261,0.827314182355244,0.07907889930881502,76231,0,33
ALL_W_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,2,509643.45548314543,70890.06294979893,0.9299374657265277,0.08255714675620078,76231,0,142
