slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
ALL_M_14-25_mrc2,2,8.0,u,baseline,full,0.9957803431039428,0.9956067058118915,0.5661062611773833
ALL_M_14-25_mrc2,2,8.0,u,aging,baseline,0.9978964093376407,0.9977886885393279,0.3225110941578304
ALL_M_14-25_mrc2,2,8.0,u,aging,drift,0.9959730816356056,0.9958548232562004,0.5683056928842767
ALL_M_14-25_mrc2,2,8.0,u,aging,full,0.997669790765928,0.9976074044614271,0.5563864812648713
ALL_M_14-25_mrc2,2,8.0,u,drift,full,0.9952228625407815,0.9951993482678029,0.5750266582088024
ALL_M_14-25_mrc5,5,8.0,v,baseline,drift,0.905206212013427,0.8912773642947942,0.0388447799999009
ALL_M_14-25_mrc5,5,8.0,v,baseline,full,0.9199892232831817,0.901677955738315,0.036851527880851546
ALL_M_14-25_mrc5,5,8.0,v,aging,baseline,0.9208288865040701,0.9010831795666332,0.02408457692309663
ALL_M_14-25_mrc5,5,8.0,v,aging,drift,0.8397102335512268,0.8004541246996365,0.03690376037465033
ALL_M_14-25_mrc5,5,8.0,v,aging,full,0.9629562252879746,0.9472556979829302,0.020155586710953736
ALL_M_14-25_mrc5,5,8.0,v,drift,full,0.8750200889089436,0.8503000406039309,0.03958260418348804
ALL_M_14-25_mrc5,5,8.0,u,baseline,drift,0.9984870261789658,0.9984122523317382,0.19939505612498465
ALL_M_14-25_mrc5,5,8.0,u,baseline,full,0.9915962430415163,0.991684569061303,1.0958124595142635
ALL_M_14-25_mrc5,5,8.0,u,aging,baseline,0.9930752460394687,0.9932790868490361,1.0695154518955103
ALL_M_14-25_mrc5,5,8.0,u,aging,drift,0.9925357614594363,0.9927485583897646,1.0595685760215474
ALL_M_14-25_mrc5,5,8.0,u,aging,full,0.99881782860334,0.9987705181511252,0.19195510447565312
ALL_M_14-25_mrc5,5,8.0,u,drift,full,0.9932275201803347,0.9934274764231475,1.0858655836403006
ALL_B_14-25_mrc2,2,8.0,v,baseline,drift,0.9556302642262477,0.9417886965297815,0.027532583672255175
