slug,nu,cand,basis,gamma_form,solver,entry_age_label,entry_age,peak_an,peak_age,peak_depth,peak_pct,improve_span_yr,breakeven_an,tail_value,plateau_p05_yr,plateau_p10_yr,plateau_p25_yr,tail_an_cut,tail_sign_changes,tail_nonmonotone
Po10_B_14-25_mrc2,inf,poly3-goff,poly3,off,anderson,p90,54.5,3.1135829730445517,57.61358297304455,-0.017829263143287657,-0.017671262237909727,7.04962182576125,7.053208909238245,0.03289718754447149,1.5274180622482707,2.114886547728375,3.407317215784604,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-goff,poly3,off,anderson,mean,40.14172254819782,3.2310766701405726,43.37279921833839,-0.018306315859071463,-0.01813977306898416,7.284609219953291,7.30670082785025,0.030129395172252677,1.5861649107962812,2.2323802448243955,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-goff,poly3,off,anderson,p10,26.5,3.2310766701405726,29.731076670140574,-0.018306315859071463,-0.01813977306898416,7.284609219953291,7.30670082785025,0.030129395172252677,1.5861649107962812,2.2323802448243955,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-goff,poly3,off,anderson,p50,40.5,3.2310766701405726,43.731076670140574,-0.018306315859071463,-0.01813977306898416,7.284609219953291,7.30670082785025,0.030129395172252677,1.5861649107962812,2.2323802448243955,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-goff,poly3,off,anderson,p90,54.5,3.2310766701405726,57.731076670140574,-0.018306315859071463,-0.01813977306898416,7.284609219953291,7.30670082785025,0.030129395172252677,1.5861649107962812,2.2323802448243955,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gscalar,poly3,scalar,anderson,mean,40.14172254819782,3.2310766701405726,43.37279921833839,-0.018327076855778984,-0.01816015725432399,7.3433560685013015,7.365183295386992,0.029617216438231654,1.5861649107962812,2.2323802448243955,3.583557761428635,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gscalar,poly3,scalar,anderson,p10,26.5,11.690622861054072,38.190622861054074,-0.06109619335390797,-0.05926725681420384,11.690622861054072,,-0.06109619335390797,1.703658607892302,6.050925400445072,8.165811948173447,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gscalar,poly3,scalar,anderson,p50,40.5,3.1723298215925624,43.67232982159256,-0.01767569376566577,-0.01752039504103724,7.10836867430926,7.162744775443205,0.03199965525340227,1.5861649107962812,2.2323802448243955,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gscalar,poly3,scalar,anderson,p90,54.5,0.9399495767681666,55.439949576768164,-0.0018957327192696046,-0.0018939369529417229,1.8798991535363332,1.9033401170551967,0.12509550386071253,0.41122793983607286,0.6462153340281145,0.998696425316177,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gscalar,poly3,scalar,anderson,mean,40.14172254819782,3.3485703672365936,43.49029291543441,-0.019044364645077454,-0.018864166465782227,7.5783434626933435,7.6347970407597545,0.027147152482023557,1.6449117593442915,2.3498739419204164,3.701051458524656,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gscalar,poly3,scalar,anderson,p10,26.5,11.690622861054072,38.190622861054074,-0.06212823686325805,-0.06023763311443061,11.690622861054072,,-0.06212823686325805,1.997392850632354,5.992178551897062,8.107065099625437,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gscalar,poly3,scalar,anderson,p50,40.5,3.2310766701405726,43.731076670140574,-0.018383014328968977,-0.0182150773581442,7.402102917049312,7.425462160385753,0.029491824050461267,1.5861649107962812,2.291127093372406,3.583557761428635,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gscalar,poly3,scalar,anderson,p90,54.5,0.998696425316177,55.498696425316176,-0.00217495788574666,-0.0021725943786642526,2.056139699180364,2.064464509246523,0.12111188496418059,0.4699747883840833,0.6462153340281145,1.0574432738641875,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gvarying,poly3,varying,anderson,mean,40.14172254819782,3.2310766701405726,43.37279921833839,-0.01836800236137821,-0.018200338724076726,7.284609219953291,7.34006555467362,0.029810202619467915,1.5861649107962812,2.2323802448243955,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gvarying,poly3,varying,anderson,p10,26.5,11.690622861054072,38.190622861054074,-0.06617069833983814,-0.06402891805510834,11.690622861054072,,-0.06617069833983814,0.4699747883840833,1.0574432738641875,8.283305645269468,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gvarying,poly3,varying,anderson,p50,40.5,3.1723298215925624,43.67232982159256,-0.017595406250015957,-0.017441511027720125,7.10836867430926,7.141980538545377,0.032330983444314745,1.5861649107962812,2.173633396276385,3.466064064332614,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly3-gvarying,poly3,varying,anderson,p90,54.5,0.0,54.5,0.0,0.0,0.0,,0.13083266522846765,0.05874684854801041,0.05874684854801041,0.05874684854801041,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gvarying,poly3,varying,anderson,mean,40.14172254819782,3.3485703672365936,43.49029291543441,-0.019246044577387798,-0.019062021921868517,7.637090311241353,7.650803925664904,0.026901023534678555,1.6449117593442915,2.3498739419204164,3.701051458524656,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gvarying,poly3,varying,anderson,p10,26.5,11.690622861054072,38.190622861054074,-0.06394954363247518,-0.06194767095024631,11.690622861054072,,-0.06394954363247518,0.6462153340281145,3.8185451556206766,8.57703988800952,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gvarying,poly3,varying,anderson,p50,40.5,3.289823518688583,43.789823518688586,-0.018459144875452468,-0.01828981833576234,7.402102917049312,7.444581736554327,0.02928706456317981,1.5861649107962812,2.291127093372406,3.6423046099766454,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly3-gvarying,poly3,varying,anderson,p90,54.5,0.17624054564403124,54.676240545644035,-2.9295586935838835e-05,-2.9295157824322245e-05,0.29373424274005205,0.29776283927374875,0.12252367275883483,0.11749369709602082,0.11749369709602082,0.11749369709602082,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-goff,poly4,off,anderson,mean,40.14172254819782,2.6436081846604687,42.785330732858284,-0.018186782619863742,-0.018022401120825045,7.10836867430926,7.125574811169287,0.04397663062711574,1.40992436515225,2.056139699180364,3.289823518688583,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-goff,poly4,off,anderson,p10,26.5,2.6436081846604687,29.14360818466047,-0.018186782619863742,-0.018022401120825045,7.10836867430926,7.125574811169287,0.04397663062711574,1.40992436515225,2.056139699180364,3.289823518688583,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-goff,poly4,off,anderson,p50,40.5,2.6436081846604687,43.143608184660465,-0.018186782619863742,-0.018022401120825045,7.10836867430926,7.125574811169287,0.04397663062711574,1.40992436515225,2.056139699180364,3.289823518688583,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-goff,poly4,off,anderson,p90,54.5,2.6436081846604687,57.143608184660465,-0.018186782619863742,-0.018022401120825045,7.10836867430926,7.125574811169287,0.04397663062711574,1.40992436515225,2.056139699180364,3.289823518688583,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-goff,poly4,off,anderson,mean,40.14172254819782,2.702355033208479,42.844077581406296,-0.018326329286013673,-0.018159423260268818,7.402102917049312,7.431717599088362,0.041439274918512584,1.4686712137002602,2.173633396276385,3.407317215784604,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-goff,poly4,off,anderson,p10,26.5,2.702355033208479,29.20235503320848,-0.018326329286013673,-0.018159423260268818,7.402102917049312,7.431717599088362,0.041439274918512584,1.4686712137002602,2.173633396276385,3.407317215784604,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-goff,poly4,off,anderson,p50,40.5,2.702355033208479,43.20235503320848,-0.018326329286013673,-0.018159423260268818,7.402102917049312,7.431717599088362,0.041439274918512584,1.4686712137002602,2.173633396276385,3.407317215784604,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-goff,poly4,off,anderson,p90,54.5,2.702355033208479,57.20235503320848,-0.018326329286013673,-0.018159423260268818,7.402102917049312,7.431717599088362,0.041439274918512584,1.4686712137002602,2.173633396276385,3.407317215784604,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-gscalar,poly4,scalar,anderson,mean,40.14172254819782,2.761101881756489,42.90282442995431,-0.01828896670751101,-0.01812273847932854,7.402102917049312,7.434368119414812,0.0404969977867346,1.5274180622482707,2.173633396276385,3.407317215784604,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-gscalar,poly4,scalar,anderson,p10,26.5,9.164508373489625,35.664508373489625,-0.05967114526924192,-0.05792571176427223,11.690622861054072,,-0.05016333978405858,3.7597983070726664,5.4634569149649685,8.165811948173447,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,inf,poly4-gscalar,poly4,scalar,anderson,p50,40.5,2.702355033208479,43.20235503320848,-0.01773612581341341,-0.01757976650144767,7.16711552285727,7.177094436163441,0.04287804274712198,1.4686712137002602,2.056139699180364,3.3485703672365936,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-gscalar,poly4,scalar,anderson,p90,54.5,0.998696425316177,55.498696425316176,-0.00371281502151637,-0.003705931046102148,2.114886547728375,2.1685217656575433,0.13591942527830256,0.4699747883840833,0.704962182576125,1.0574432738641875,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-gscalar,poly4,scalar,anderson,mean,40.14172254819782,2.87859557885251,43.02031812705033,-0.018885153292073582,-0.01870794606654409,7.8133308568853845,7.833800132176158,0.03754109793236145,1.5861649107962812,2.2323802448243955,3.583557761428635,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-gscalar,poly4,scalar,anderson,p10,26.5,9.164508373489625,35.664508373489625,-0.061147071160428605,-0.05931511801515249,11.690622861054072,,-0.05169295582652879,3.701051458524656,5.345963217868947,8.107065099625437,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,8,poly4-gscalar,poly4,scalar,anderson,p50,40.5,2.8198487303045,43.3198487303045,-0.018316751425463053,-0.018150019283106944,7.519596614145333,7.568783409885346,0.03988468388946901,1.5274180622482707,2.173633396276385,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-gscalar,poly4,scalar,anderson,p90,54.5,1.0574432738641875,55.55744327386419,-0.00391629633250239,-0.003908637645178805,2.2323802448243955,2.2797811935414276,0.13146232360546678,0.5287216369320937,0.704962182576125,1.1749369709602082,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-gvarying,poly4,varying,anderson,mean,40.14172254819782,2.761101881756489,42.90282442995431,-0.018436546417797798,-0.018267632949116028,7.402102917049312,7.4482154961696585,0.039958888984188215,1.5274180622482707,2.114886547728375,3.466064064332614,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-gvarying,poly4,varying,anderson,p10,26.5,9.458242616229676,35.958242616229676,-0.05977845434285512,-0.058026799459507145,11.690622861054072,,-0.05053588160110134,3.6423046099766454,5.874684854801041,8.929520979297582,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,inf,poly4-gvarying,poly4,varying,anderson,p50,40.5,2.702355033208479,43.20235503320848,-0.01774996501829286,-0.017593362322258884,7.16711552285727,7.193924676962051,0.042335585599455744,1.4686712137002602,2.114886547728375,3.3485703672365936,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly4-gvarying,poly4,varying,anderson,p90,54.5,0.3524810912880625,54.85248109128806,-0.0002784977076775103,-0.000278458930790761,0.704962182576125,0.7395953686461212,0.13520705280001283,0.17624054564403124,0.23498739419204165,0.3524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-gvarying,poly4,varying,anderson,mean,40.14172254819782,2.87859557885251,43.02031812705033,-0.019076853934936588,-0.018896042354453805,7.8133308568853845,7.849110518711765,0.03688867197843505,1.5861649107962812,2.2323802448243955,3.6423046099766454,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-gvarying,poly4,varying,anderson,p10,26.5,9.047014676393603,35.5470146763936,-0.06089939086495886,-0.05908210004985053,11.690622861054072,,-0.04746287519964222,3.701051458524656,5.75719115770502,8.870774130749572,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-gvarying,poly4,varying,anderson,p50,40.5,2.8198487303045,43.3198487303045,-0.018376471793076533,-0.018208653974036572,7.5783434626933435,7.585496152110392,0.03910402691413014,1.5274180622482707,2.2323802448243955,3.524810912880625,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,8,poly4-gvarying,poly4,varying,anderson,p90,54.5,0.41122793983607286,54.911227939836074,-0.0003450825782326788,-0.00034502304408804123,0.8224558796721457,0.8538925697603656,0.1256709290279025,0.17624054564403124,0.29373424274005205,0.41122793983607286,8.988364134154688,0.0,0.0
Po10_B_14-25_mrc2,inf,poly5-goff,poly5,off,anderson,mean,40.14172254819782,2.173633396276385,42.315355944474206,-0.01759436744623975,-0.017440490341721293,7.402102917049312,7.456033795017987,0.031053818970991184,1.40992436515225,2.056139699180364,3.524810912880625,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,inf,poly5-goff,poly5,off,anderson,p10,26.5,2.173633396276385,28.673633396276387,-0.01759436744623975,-0.017440490341721293,7.402102917049312,7.456033795017987,0.031053818970991184,1.40992436515225,2.056139699180364,3.524810912880625,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,inf,poly5-goff,poly5,off,anderson,p50,40.5,2.173633396276385,42.67363339627639,-0.01759436744623975,-0.017440490341721293,7.402102917049312,7.456033795017987,0.031053818970991184,1.40992436515225,2.056139699180364,3.524810912880625,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,inf,poly5-goff,poly5,off,anderson,p90,54.5,2.173633396276385,56.67363339627639,-0.01759436744623975,-0.017440490341721293,7.402102917049312,7.456033795017987,0.031053818970991184,1.40992436515225,2.056139699180364,3.524810912880625,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,8,poly5-goff,poly5,off,anderson,mean,40.14172254819782,2.3498739419204164,42.49159649011823,-0.0176277120182207,-0.017473252821788184,7.637090311241353,7.658771840002648,0.030372148828389525,1.5861649107962812,2.2323802448243955,3.8185451556206766,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,8,poly5-goff,poly5,off,anderson,p10,26.5,2.3498739419204164,28.849873941920418,-0.0176277120182207,-0.017473252821788184,7.637090311241353,7.658771840002648,0.030372148828389525,1.5861649107962812,2.2323802448243955,3.8185451556206766,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,8,poly5-goff,poly5,off,anderson,p50,40.5,2.3498739419204164,42.849873941920414,-0.0176277120182207,-0.017473252821788184,7.637090311241353,7.658771840002648,0.030372148828389525,1.5861649107962812,2.2323802448243955,3.8185451556206766,8.988364134154688,1.0,1.0
Po10_B_14-25_mrc2,8,poly5-goff,poly5,off,anderson,p90,54.5,2.3498739419204164,56.849873941920414,-0.0176277120182207,-0.017473252821788184,7.637090311241353,7.658771840002648,0.030372148828389525,1.5861649107962812,2.2323802448243955,3.8185451556206766,8.988364134154688,1.0,1.0
