slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
Po10_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,1,205669.52242167838,28748.150031579393,0.7823264492769313,0.08958284551057163,36747,0,11
Po10_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,1,221757.25052101735,33937.841288909214,0.9235540666968518,0.08984856930569668,36747,0,266
Po10_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,2,205758.9364542146,28756.24399708059,0.7818871063429385,0.08955633879876355,36778,0,11
Po10_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,2,221969.14159242774,33602.65603957401,0.9136618641463378,0.0898642422729164,36778,0,160
Po10_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,3,205648.25567305885,28756.450907226656,0.7769284010273865,0.08968301617420088,37013,0,11
Po10_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,3,221806.2399009579,33780.04716142864,0.912653585535586,0.0897022216153521,37013,0,219
Po10_B_14-25_mrc2,anderson,inf,poly2-gvarying,poly2,varying,4,204731.56654668498,30355.189050024943,0.8200337426054229,0.0882273662300176,37017,0,11
Po10_B_14-25_mrc2,anderson,8,poly2-gvarying,poly2,varying,4,221361.64848306653,34266.78505573286,0.9257040023700693,0.08840601547421881,37017,0,253
Po10_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,0,205612.81993118871,28946.334830200296,0.7846023589895182,0.08944218290639544,36893,0,11
Po10_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,0,221922.60435740295,33628.07515543363,0.9115028638341591,0.08984955782477166,36893,0,288
Po10_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,1,205721.7465532621,28727.043365678866,0.7817520713440245,0.08958859596043059,36747,0,11
Po10_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,1,221819.79262441272,33653.71755803507,0.9158221775392568,0.09056126814540365,36747,0,240
Po10_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,2,205826.34245756367,28705.809045641352,0.7805157715384564,0.08958904133697276,36778,0,11
Po10_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,2,222040.2969328629,33276.505611749926,0.904793779209036,0.09060987194014514,36778,0,179
Po10_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,3,205710.65246742684,28710.051173331933,0.7756747946216717,0.08971227571409329,37013,0,11
Po10_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,3,221871.20218408725,33482.127426154344,0.9046045288453879,0.09017260802376297,37013,0,203
Po10_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,4,204781.05096549087,30337.05250313864,0.8195437907755528,0.0882318213282914,37017,0,11
Po10_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,4,221422.27389330612,34019.85550087197,0.9190332955364284,0.08896235152379116,37017,0,314
