solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,8.0,3,77906.66537486439,11980.45515642648,0.9652316432828295,0.08280577573313301,12412,0,435
anderson,6.0,3,78764.13749466263,11962.835159229344,0.9638120495673013,0.08338839623118328,12412,0,533
anderson,5.0,3,79343.74028306888,11885.94216931062,0.957616997205174,0.08385400172991811,12412,0,724
anderson,4.0,3,80089.92433760365,11747.189980902313,0.9464381228570989,0.08439740419331862,12412,0,647
anderson,3.0,3,81110.21365344194,11436.341739941523,0.9213939526217791,0.08512503970247354,12412,0,729
anderson,inf,4,73774.33039407234,9837.798295413982,0.7938830128642659,0.08434926195603616,12392,0,8
anderson,15.0,4,76872.95225407339,11006.396829415562,0.888185670546769,0.08454708929769535,12392,0,12
anderson,10.0,4,77862.96086460048,11180.656171940704,0.9022479157473131,0.08525806732061458,12392,0,292
anderson,8.0,4,78463.28797549999,11279.003144206952,0.9101842433995281,0.08555986935677493,12392,0,158
anderson,6.0,4,79308.29082144084,11368.416657835416,0.9173996657388167,0.08598598830568997,12392,0,440
anderson,5.0,4,79878.20315785383,11370.00114628786,0.9175275295584134,0.08633707149158601,12392,0,784
anderson,4.0,4,80616.69491321649,11271.893030660074,0.9096104769738601,0.08685816330897496,12392,0,656
anderson,3.0,4,81637.30381849775,10926.412953680749,0.8817311938089694,0.08769528401568966,12392,0,666
cv,inf,0,73701.65404455067,10099.368435744755,0.8149909970743023,0.08367213771298719,12392,0,14
cv,15.0,0,76703.13982476282,11316.271288575213,0.9131916791942555,0.08368205857956777,12392,0,24
cv,10.0,0,77681.44596899545,11555.923356014537,0.9325309357661827,0.08373812008561934,12392,0,688
cv,8.0,0,78267.46081114277,11659.67685087048,0.9409035547829633,0.08395475238002091,12392,0,73
cv,6.0,0,79095.43916510086,11745.912827947639,0.9478625587433537,0.08431039645901557,12392,0,918
cv,5.0,0,79653.35611083549,11732.228013372785,0.9467582321959962,0.08465782186770936,12392,0,895
cv,4.0,0,80373.05806790455,11640.145719513705,0.9393274467005894,0.0851882151534843,12392,0,1067
cv,3.0,0,81359.8908969523,11360.64952416973,0.9167728796134386,0.08593024360680432,12392,0,1115
cv,inf,1,73515.06965424865,10423.81491927218,0.8456770176271442,0.08283760486840554,12326,0,13
cv,15.0,1,76480.56934359165,11624.565926243054,0.9430931304756657,0.0826254483569694,12326,0,48
cv,10.0,1,77460.80540758785,11750.61963544364,0.9533197822037677,0.08302883777035834,12326,0,548
cv,8.0,1,78061.70130594575,11816.872506081301,0.9586948325556791,0.08326090718525252,12326,0,916
cv,6.0,1,78895.67299705173,11879.671222400899,0.9637896497161204,0.08362385484578867,12326,0,40
cv,5.0,1,79486.04717172998,11750.449289669745,0.9533059621669434,0.08419357442409688,12326,0,1083
cv,4.0,1,80237.45777117697,11591.645099014175,0.9404222861442622,0.08476795303947735,12326,0,919
cv,3.0,1,81274.2249213689,11278.837390788669,0.9150444094425336,0.08553001485136666,12326,0,998
cv,inf,2,73481.33632574094,10502.704933254816,0.8480181617484712,0.08270203967321421,12385,0,14
cv,15.0,2,76521.3852537219,11569.434728656925,0.9341489486198566,0.08273747758486011,12385,0,32
cv,10.0,2,77508.2074838739,11680.8626091803,0.9431459514881146,0.08318672377963833,12385,0,734
cv,8.0,2,78111.95936350206,11754.860024614716,0.9491207125244018,0.083432437308073,12385,0,138
cv,6.0,2,78963.90494960325,11766.297152563842,0.9500441786486752,0.08393312416682669,12385,0,755
cv,5.0,2,79538.02122146245,11754.365222651122,0.9490807608115561,0.08428838951651017,12385,0,997
cv,4.0,2,80274.4829538936,11659.971424655349,0.9414591380424181,0.08479071908440897,12385,0,1023
cv,3.0,2,81274.88286760931,11386.497578810255,0.9193780846839124,0.08550011711379053,12385,0,984
cv,inf,3,73254.5917449835,10772.308077440972,0.8678946243507067,0.08214579560643052,12412,0,15
cv,15.0,3,76303.73117012269,11825.823559423625,0.9527734095571725,0.0820518715805493,12412,0,38
cv,10.0,3,77296.38096847715,11886.461112818844,0.9576588070269775,0.08277698715968539,12412,0,528
cv,8.0,3,77906.665014775,11920.434519960616,0.9603959490783609,0.08312670647705309,12412,0,666
cv,6.0,3,78764.13695444485,11883.917439911316,0.9574538704408085,0.08376696600045398,12412,0,709
cv,5.0,3,79343.68636420458,11825.152034023162,0.9527193066406028,0.08422563263680757,12412,0,848
cv,4.0,3,80089.9529416286,11675.616680563708,0.9406716629522807,0.08480811933688054,12412,0,1256
cv,3.0,3,81110.20651064924,11326.600033162009,0.9125523713472453,0.08563595960881476,12412,0,1019
cv,inf,4,73774.33034803541,9837.774893194106,0.7938811243700861,0.0843493286501786,12392,0,14
cv,15.0,4,76872.95199963171,11006.527818212617,0.8881962409790685,0.08454620582261144,12392,0,35
cv,10.0,4,77863.18785323507,11106.015389941636,0.8962246118416427,0.0857801358530726,12392,0,687
cv,8.0,4,78463.28775482818,11220.520243362876,0.9054648356490378,0.08604127690646593,12392,0,180
cv,6.0,4,79308.41318484774,11290.079769428303,0.9110780963063511,0.08657380816827537,12392,0,1004
cv,5.0,4,79878.19858159336,11293.79926588765,0.9113782493453558,0.0869295650451993,12392,0,1144
cv,4.0,4,80616.6974548827,11238.787438142854,0.9069389475583323,0.08739988771493265,12392,0,999
cv,3.0,4,81637.30634443909,10992.085370760433,0.8870307755616876,0.08807908255378248,12392,0,986
