target,kind,weather_set,n,r2,r2_sd,r2_lo,r2_hi,beta_weather,se_weather,z_weather,beta_weather_lo,beta_weather_hi,beta_course,se_course,z_course,beta_course_lo,beta_course_hi
v_Po10_W,slice,WBGT,203,0.2758254962336718,0.05547402923044713,0.17411154345622945,0.39137259271417363,0.4230183446717086,0.06017764493606484,7.0294931800860665,0.3050723278949039,0.5409643614485133,0.3064428689310342,0.06017764493606485,5.0923041148687584,0.18849685215422946,0.4243888857078389
mean_time_sec,metric,temp,343,0.057330743341063695,0.02313488847672641,0.02223613318785411,0.11186113675360691,0.18301534556915644,0.05326328220487865,3.43605084014881,0.0786212307247029,0.28740946041361,0.12925478380348845,0.053263282204878665,2.4267145855996333,0.02486066895903488,0.23364889864794203
mean_time_sec,metric,WBGT,343,0.03202691730918894,0.017897893191959995,0.009145867487069808,0.0790798426280211,0.08656232614418961,0.0535821929908104,1.6155054750938518,-0.0184568423551182,0.19158149464349744,0.1489072167671143,0.05358219299081042,2.7790429703512234,0.04388804826780644,0.25392638526642214
p1_time_sec,metric,temp,343,0.14090962588218314,0.029769712696816875,0.09420171636552817,0.21000261078544263,0.1459956172713134,0.050847274595608755,2.871257475104119,0.046336790328514815,0.245654444214112,0.3245239585220984,0.05084727459560876,6.382327491553004,0.22486513157929983,0.424182785464897
p1_time_sec,metric,WBGT,343,0.1272480774040392,0.02695579422990752,0.08435460735492484,0.1900291103607413,0.08502814207808745,0.05087849438643344,1.671200044409331,-0.014691874530346746,0.18474815868652167,0.33873836738182783,0.05087849438643345,6.6577907123004625,0.23901835077339362,0.43845838399026205
p10_time_sec,metric,temp,343,0.09288914063925313,0.029644634402847557,0.052049847161536274,0.1638491837808657,0.18610035406235537,0.05224905456155831,3.561793713283316,0.08369408887140112,0.2885066192533096,0.214942616493405,0.052249054561558324,4.113808724331381,0.11253635130245071,0.31734888168435926
p10_time_sec,metric,WBGT,343,0.0722016230332071,0.02335149413312478,0.040322478795468804,0.13151764102232916,0.11519832244184137,0.05245847342226832,2.1959907509039396,0.012381603826115764,0.21801504105756697,0.2324378511174574,0.05245847342226834,4.430892398382085,0.12962113250173177,0.335254569733183
p25_time_sec,metric,temp,343,0.06274047887631407,0.025089801027250867,0.02984098310564912,0.12399210722963931,0.16804127151160667,0.053110230193512485,3.1640094742450056,0.06394713309726262,0.2721354099259507,0.16214471278364928,0.0531102301935125,3.052984560467138,0.058050574369305205,0.26623885119799334
p25_time_sec,metric,WBGT,343,0.04294888323018764,0.018308136413460418,0.019739808470178928,0.09090128468156734,0.0887189710040266,0.05327904247322517,1.6651757780484024,-0.01570603339878006,0.19314397540683326,0.17934322756490095,0.05327904247322519,3.3661120628252275,0.07491822316209426,0.2837682319677076
median_time_sec,metric,temp,343,0.04720016919851533,0.0232391084532937,0.015527073546682304,0.10545775839463437,0.1688175920537277,0.05354871936547655,3.152598121003175,0.06386403065452162,0.2737711534529338,0.1136577452004165,0.05354871936547657,2.122510987138431,0.00870418380121038,0.2186113065996226
