solver,nu,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
anderson,8.0,2,33848.38423844641,6451.89459410336,1.5973990081959297,0.05272247024728287,4039,0,126
anderson,6.0,2,34389.50197202027,6485.383924499265,1.6056904987618879,0.053165668620625134,4039,0,179
anderson,5.0,2,34743.08632889605,6499.973916761968,1.6093027771136341,0.053426925433255515,4039,0,104
anderson,4.0,2,35186.19875071573,6504.843606807607,1.6105084443693012,0.053763133569623395,4039,0,228
anderson,3.0,2,35757.94134163516,6458.520311050221,1.5990394431914388,0.05421018252700071,4039,0,550
anderson,inf,3,29253.4022347441,6048.344252806772,1.510952848565269,0.05020300703912688,4003,0,11
anderson,15.0,3,32711.145800570204,6538.154245949385,1.6333135763051174,0.04874807803573476,4003,0,70
anderson,10.0,3,33413.83144679306,6622.720311227246,1.6544392483705337,0.048869553643765266,4003,0,62
anderson,8.0,3,33820.62149089967,6655.257708260478,1.6625675014390402,0.04904821938461939,4003,0,24
anderson,6.0,3,34382.92184441906,6659.94798946779,1.6637391929722183,0.04953482362683716,4003,0,230
anderson,5.0,3,34742.07546845655,6671.3011146877825,1.6665753471615745,0.049750987962667935,4003,0,37
anderson,4.0,3,35188.894140478646,6647.395780261134,1.660603492445949,0.050151571295775965,4003,0,408
anderson,3.0,3,35757.71270152711,6605.612574205481,1.6501655194118114,0.05057365197328049,4003,0,486
anderson,inf,4,29923.41765356945,5099.798036477674,1.2765451906076781,0.055964957962868205,3995,0,11
anderson,15.0,4,32740.406110637658,6438.773569691486,1.611708027457193,0.055831850250697944,3995,0,19
anderson,10.0,4,33441.98170327945,6557.466778173121,1.6414184676278152,0.05623212681526283,3995,0,89
anderson,8.0,4,33845.5204004835,6603.048866510375,1.652828251942522,0.05645320087719484,3995,0,59
anderson,6.0,4,34392.71112424177,6638.7224315079275,1.6617578051333985,0.0568405390365794,3995,0,174
anderson,5.0,4,34748.49879192952,6651.831335825236,1.6650391328723995,0.05705636259196911,3995,0,56
anderson,4.0,4,35194.305408124506,6615.788403210539,1.6560171222053917,0.0574645443506273,3995,0,336
anderson,3.0,4,35766.36135312094,6544.8897351715605,1.6382702716324307,0.05790329799400999,3995,0,346
