series_key,distance_m,year,course_id,net_gain_m,total_gain_m,uncertainty_total_m,uncertainty_net_m,n_files,status,remark
kobe_marathon,42195,2018,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2019,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2022,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2023,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2024,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2025,,,,,,0,no_data,no usable marathon track for this series/course (gather)
lisbon_marathon,42195,2021,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2022,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2023,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2024,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2025,1,-5.4,147.3,,,1,measured,
london_marathon,42195,2014,1,-33.9,83.1,5.4,4.0,8,filled_from_course,no track this year; value from course 1 (other years)
london_marathon,42195,2015,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2016,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2017,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2018,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2019,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2020,1,-33.9,83.1,5.4,4.0,8,filled_from_course,no track this year; value from course 1 (other years)
london_marathon,42195,2021,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2022,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2023,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2024,1,-33.9,83.1,5.4,4.0,8,measured,
london_marathon,42195,2025,1,-33.9,83.1,5.4,4.0,8,measured,
madrid_marathon,42195,2021,1,-25.9,318.4,37.8,1.1,2,filled_from_course,no track this year; value from course 1 (other years)
madrid_marathon,42195,2022,1,-25.9,318.4,37.8,1.1,2,filled_from_course,no track this year; value from course 1 (other years)
madrid_marathon,42195,2023,1,-25.9,318.4,37.8,1.1,2,filled_from_course,no track this year; value from course 1 (other years)
madrid_marathon,42195,2024,1,-25.9,318.4,37.8,1.1,2,filled_from_course,no track this year; value from course 1 (other years)
madrid_marathon,42195,2025,1,-25.9,318.4,37.8,1.1,2,filled_from_course,no track this year; value from course 1 (other years)
malaga_marathon,42195,2018,1,-0.1,291.4,42.1,0.8,2,filled_from_course,no track this year; value from course 1 (other years)
malaga_marathon,42195,2019,1,-0.1,291.4,42.1,0.8,2,filled_from_course,no track this year; value from course 1 (other years)
malaga_marathon,42195,2021,1,-0.1,291.4,42.1,0.8,2,filled_from_course,no track this year; value from course 1 (other years)
malaga_marathon,42195,2022,1,-0.1,291.4,42.1,0.8,2,filled_from_course,no track this year; value from course 1 (other years)
malaga_marathon,42195,2023,1,-0.1,291.4,42.1,0.8,2,filled_from_course,no track this year; value from course 1 (other years)
malaga_marathon,42195,2024,1,-0.1,291.4,42.1,0.8,2,measured,
malaga_marathon,42195,2025,1,-0.1,291.4,42.1,0.8,2,measured,
manchester_marathon,42195,2019,2,-3.1,72.1,,,1,measured,
manchester_marathon,42195,2021,3,-2.8,89.9,1.8,4.6,5,measured,
manchester_marathon,42195,2022,3,-2.8,89.9,1.8,4.6,5,measured,
manchester_marathon,42195,2023,3,-2.8,89.9,1.8,4.6,5,measured,
manchester_marathon,42195,2024,3,-2.8,89.9,1.8,4.6,5,measured,
manchester_marathon,42195,2025,4,6.5,84.4,2.1,0.0,2,measured,
melbourne_marathon,42195,2014,1,3.5,108.3,11.8,1.1,3,filled_from_course,no track this year; value from course 1 (other years)
melbourne_marathon,42195,2015,1,3.5,108.3,11.8,1.1,3,filled_from_course,no track this year; value from course 1 (other years)
melbourne_marathon,42195,2016,1,3.5,108.3,11.8,1.1,3,filled_from_course,no track this year; value from course 1 (other years)
melbourne_marathon,42195,2017,1,3.5,108.3,11.8,1.1,3,measured,
melbourne_marathon,42195,2018,1,3.5,108.3,11.8,1.1,3,filled_from_course,no track this year; value from course 1 (other years)
melbourne_marathon,42195,2019,1,3.5,108.3,11.8,1.1,3,filled_from_course,no track this year; value from course 1 (other years)
melbourne_marathon,42195,2021,1,3.5,108.3,11.8,1.1,3,filled_from_course,no track this year; value from course 1 (other years)
melbourne_marathon,42195,2022,1,3.5,108.3,11.8,1.1,3,filled_from_course,no track this year; value from course 1 (other years)
melbourne_marathon,42195,2023,1,3.5,108.3,11.8,1.1,3,measured,
melbourne_marathon,42195,2024,1,3.5,108.3,11.8,1.1,3,measured,
melbourne_marathon,42195,2025,1,3.5,108.3,11.8,1.1,3,measured,
milan_marathon,42195,2022,1,-1.0,63.2,7.9,3.9,5,measured,
milan_marathon,42195,2023,1,-1.0,63.2,7.9,3.9,5,measured,
milan_marathon,42195,2024,1,-1.0,63.2,7.9,3.9,5,measured,
milan_marathon,42195,2025,1,-1.0,63.2,7.9,3.9,5,measured,
milton_keynes_marathon,42195,2014,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2015,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2016,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2017,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2018,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2019,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2021,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2022,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2023,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2024,1,-8.3,191.5,11.4,1.7,3,filled_from_course,no track this year; value from course 1 (other years)
milton_keynes_marathon,42195,2025,1,-8.3,191.5,11.4,1.7,3,measured,
munich_marathon,42195,2018,1,1.1,77.9,13.8,2.2,5,measured,
munich_marathon,42195,2019,1,1.1,77.9,13.8,2.2,5,measured,
munich_marathon,42195,2021,1,1.1,77.9,13.8,2.2,5,measured,
munich_marathon,42195,2022,1,1.1,77.9,13.8,2.2,5,measured,
munich_marathon,42195,2023,1,1.1,77.9,13.8,2.2,5,filled_from_course,no track this year; value from course 1 (other years)
munich_marathon,42195,2024,1,1.1,77.9,13.8,2.2,5,measured,
munich_marathon,42195,2025,1,1.1,77.9,13.8,2.2,5,measured,
newport_marathon,42195,2018,1,0.2,55.4,3.8,0.8,3,measured,
newport_marathon,42195,2019,1,0.2,55.4,3.8,0.8,3,measured,
newport_marathon,42195,2021,1,0.2,55.4,3.8,0.8,3,measured,
newport_marathon,42195,2023,1,0.2,55.4,3.8,0.8,3,measured,
newport_marathon,42195,2024,2,-0.1,24.4,2.0,0.2,4,measured,
newport_marathon,42195,2025,2,-0.1,24.4,2.0,0.2,4,measured,
nyc_marathon,42195,2014,1,-7.5,242.3,28.3,4.8,4,filled_from_course,no track this year; value from course 1 (other years)
nyc_marathon,42195,2015,1,-7.5,242.3,28.3,4.8,4,filled_from_course,no track this year; value from course 1 (other years)
nyc_marathon,42195,2016,1,-7.5,242.3,28.3,4.8,4,filled_from_course,no track this year; value from course 1 (other years)
nyc_marathon,42195,2017,1,-7.5,242.3,28.3,4.8,4,measured,
nyc_marathon,42195,2018,1,-7.5,242.3,28.3,4.8,4,filled_from_course,no track this year; value from course 1 (other years)
nyc_marathon,42195,2019,1,-7.5,242.3,28.3,4.8,4,measured,
nyc_marathon,42195,2021,1,-7.5,242.3,28.3,4.8,4,filled_from_course,no track this year; value from course 1 (other years)
nyc_marathon,42195,2022,1,-7.5,242.3,28.3,4.8,4,filled_from_course,no track this year; value from course 1 (other years)
