slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
ALL_B_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,4,1517016.183730321,207875.8946744714,0.8354972555795559,0.08127166290893999,248805,0,59
ALL_B_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,4,1624871.184602824,229068.10628186606,0.9206732432301041,0.08642549931684929,248805,0,124
ALL_B_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,0,1519665.5876758185,207183.3477777409,0.832262182765891,0.08124671040459494,248940,0,34
ALL_B_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,0,1624483.1469628152,230933.20841414502,0.927666138082048,0.08392874372672603,248940,0,194
ALL_B_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,1,1520601.9645970422,207129.03772480006,0.8335910532312722,0.08119056122120333,248478,0,55
ALL_B_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,1,1625853.036397454,229822.26813210288,0.9249199853995238,0.08359322338723091,248478,0,116
ALL_B_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,2,1519498.6349273883,208184.76373757445,0.836137116190496,0.0811195389820078,248984,0,48
ALL_B_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,2,1624244.868576664,231650.01445570518,0.9303811267218182,0.08379309560030149,248984,0,129
ALL_B_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,3,1519517.3138850883,209346.01764670137,0.8404669031876979,0.08096390144838413,249083,0,54
ALL_B_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,3,1625151.660711106,230428.05884512147,0.925105522436784,0.0824842376706264,249083,0,132
ALL_B_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,4,1519933.8964423914,208665.22510873596,0.8386697418007515,0.08102557338300355,248805,0,40
ALL_B_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,4,1625488.0820348882,229942.08814019768,0.9241859614565531,0.08221027167628635,248805,0,121
ALL_B_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,0,1516029.2615912694,208910.42239687248,0.839199897151412,0.08118176391348858,248940,0,50
ALL_B_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,0,1623972.7538334825,229896.3233507356,0.9235009373774227,0.0886557560417521,248940,0,155
ALL_B_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,1,1517249.9376215893,207491.5682527577,0.83505005776269,0.08129946588330794,248478,0,56
ALL_B_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,1,1625207.9646280364,228877.05125054638,0.921115958960336,0.08717115699990735,248478,0,107
ALL_B_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,2,1515871.1755093685,209080.5766586573,0.8397349896324956,0.08116770453422444,248984,0,48
ALL_B_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,2,1623357.2975487756,230971.01308420676,0.9276540383486761,0.08792316424448683,248984,0,94
ALL_B_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,3,1516582.5752123243,208467.5469775971,0.8369400841390103,0.08122278289475,249083,0,56
ALL_B_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,3,1624390.4873852301,229674.13979626476,0.9220787440181175,0.08729505932187105,249083,0,137
ALL_B_14-25_mrc2,anderson,inf,spline3-gscalar,spline3,scalar,4,1516974.4027720338,207889.86190740112,0.8355533928474151,0.08127171910901373,248805,0,59
ALL_B_14-25_mrc2,anderson,8,spline3-gscalar,spline3,scalar,4,1624817.2280744654,229029.21744563055,0.9205169407593519,0.08644375512283647,248805,0,101
ALL_B_14-25_mrc2,anderson,inf,spline3-gvarying,spline3,varying,0,1519315.1707079806,204645.32643336913,0.8220668692591353,0.08160950484653638,248940,0,28
ALL_B_14-25_mrc2,anderson,8,spline3-gvarying,spline3,varying,0,1623925.7144556637,230587.44239065878,0.9262771848262986,0.0850070346897962,248940,0,210
ALL_B_14-25_mrc2,anderson,inf,spline3-gvarying,spline3,varying,1,1519042.6574172855,207119.02978241336,0.8335507762554969,0.08126580143857372,248478,0,56
ALL_B_14-25_mrc2,anderson,8,spline3-gvarying,spline3,varying,1,1625257.921821895,229413.3163680063,0.9232741585492731,0.08412152815506738,248478,0,128
ALL_B_14-25_mrc2,anderson,inf,spline3-gvarying,spline3,varying,2,1517686.5068767427,208666.02126236126,0.8380700015356861,0.08113915258090301,248984,0,45
ALL_B_14-25_mrc2,anderson,8,spline3-gvarying,spline3,varying,2,1623573.8464109837,231343.2083948143,0.9291488946872662,0.08414476872364209,248984,0,136
ALL_B_14-25_mrc2,anderson,inf,spline3-gvarying,spline3,varying,3,1517781.4217677987,209764.55983039,0.8421472353809373,0.08098810190745773,249083,0,56
ALL_B_14-25_mrc2,anderson,8,spline3-gvarying,spline3,varying,3,1624522.3960273643,230128.5299905172,0.9239029961519543,0.08220476989527549,249083,0,132
ALL_B_14-25_mrc2,anderson,inf,spline3-gvarying,spline3,varying,4,1518272.0397774288,208906.629534298,0.8396399973244026,0.08107074493872699,248805,0,40
ALL_B_14-25_mrc2,anderson,8,spline3-gvarying,spline3,varying,4,1624840.969589821,229593.37743939259,0.922784419281737,0.08204556550635753,248805,0,136
ALL_B_14-25_mrc2,anderson,inf,spline4-gscalar,spline4,scalar,0,1516423.8303180921,208891.6223658664,0.8391243768211875,0.08116576122918304,248940,0,55
ALL_B_14-25_mrc2,anderson,8,spline4-gscalar,spline4,scalar,0,1624404.4292507097,229966.70449581378,0.9237836607046428,0.08861661297986778,248940,0,156
ALL_B_14-25_mrc2,anderson,inf,spline4-gscalar,spline4,scalar,1,1517618.3543958126,207514.741779856,0.8351433196494499,0.08127885269126797,248478,0,55
ALL_B_14-25_mrc2,anderson,8,spline4-gscalar,spline4,scalar,1,1625620.3221080792,228956.55682746627,0.9214359292471216,0.08715197679370203,248478,0,99
ALL_B_14-25_mrc2,anderson,inf,spline4-gscalar,spline4,scalar,2,1516226.5705181141,209141.2791227651,0.8399787902948185,0.08114261050934227,248984,0,46
ALL_B_14-25_mrc2,anderson,8,spline4-gscalar,spline4,scalar,2,1623779.0978279368,231030.76973258192,0.9278940403101481,0.08790668566501848,248984,0,102
ALL_B_14-25_mrc2,anderson,inf,spline4-gscalar,spline4,scalar,3,1516963.2747712845,208478.81899891168,0.8369853382162238,0.08120325322375391,249083,0,52
ALL_B_14-25_mrc2,anderson,8,spline4-gscalar,spline4,scalar,3,1624827.4914523163,229672.4425892127,0.9220719301968128,0.08727590939850186,249083,0,105
ALL_B_14-25_mrc2,anderson,inf,spline4-gscalar,spline4,scalar,4,1517380.3924826845,207844.7293029534,0.8353719953495846,0.081258719635137,248805,0,57
ALL_B_14-25_mrc2,anderson,8,spline4-gscalar,spline4,scalar,4,1625266.3441010641,229008.69440463433,0.9204344543101398,0.08644156250380487,248805,0,101
ALL_B_14-25_mrc2,anderson,inf,spline4-gvarying,spline4,varying,0,1519774.5191682915,204377.10776182657,0.8209894262144556,0.08162395163467877,248940,0,41
ALL_B_14-25_mrc2,anderson,8,spline4-gvarying,spline4,varying,0,1625634.6478535444,230898.04395695284,0.9275248813246277,0.08554807853946679,248940,0,178
ALL_B_14-25_mrc2,anderson,inf,spline4-gvarying,spline4,varying,1,1519440.3959921882,207151.48259782195,0.833681382648854,0.08124250920164164,248478,0,55
ALL_B_14-25_mrc2,anderson,8,spline4-gvarying,spline4,varying,1,1626937.4114208573,229936.3923795478,0.9253792785661016,0.08443107640763914,248478,0,105
ALL_B_14-25_mrc2,anderson,inf,spline4-gvarying,spline4,varying,2,1518088.421304373,208745.26710937763,0.8383882784009319,0.08110931709028274,248984,0,47
ALL_B_14-25_mrc2,anderson,8,spline4-gvarying,spline4,varying,2,1625405.009749244,231572.03315520604,0.9300679286829918,0.08508008255622848,248984,0,111
ALL_B_14-25_mrc2,anderson,inf,spline4-gvarying,spline4,varying,3,1518272.863276213,209568.84562873447,0.8413614964840413,0.08099188665505053,249083,0,55
ALL_B_14-25_mrc2,anderson,8,spline4-gvarying,spline4,varying,3,1626326.4534560298,230364.5590685282,0.9248505882317469,0.0841651798093964,249083,0,106
ALL_B_14-25_mrc2,anderson,inf,spline4-gvarying,spline4,varying,4,1518748.4793985705,208797.60594605125,0.8392018084284932,0.08106327963757955,248805,0,41
ALL_B_14-25_mrc2,anderson,8,spline4-gvarying,spline4,varying,4,1626633.5493362125,229852.74755216215,0.9238268827079928,0.0835933249033879,248805,0,107
