comp_id,series_key,year,date,race_country,total_runners,total_men,total_women,dnf_count,mean_time_sec,p1_time_sec,p10_time_sec,p25_time_sec,median_time_sec,p75_time_sec,mean_time,p1_time,p10_time,p25_time,median_time,p75_time,m_top1_sec,m_top3_sec,m_top10_sec,m_top25_sec,w_top1_sec,w_top3_sec,w_top10_sec,w_top25_sec,m_top1,m_top3,m_top10,m_top25,w_top1,w_top3,w_top10,w_top25,sub3_count,sub3_pct,sub4_count,sub4_pct,bq_count,bq_pct,m_sub3_count,m_sub3_pct,m_sub4_count,m_sub4_pct,m_bq_count,m_bq_pct,w_sub3_count,w_sub3_pct,w_sub4_count,w_sub4_pct,w_bq_count,w_bq_pct
528438429,oslo_marathon,2025,2025-09-20,NOR,4185,3158,1021,0,14596.826523297492,9919.36,11548.2,12784.0,14293.0,16152.0,04:03:17,02:45:19,03:12:28,03:33:04,03:58:13,04:29:12,8548.0,8601.0,9024.0,9596.0,9659.0,9940.0,10998.0,11364.0,02:22:28,02:23:21,02:30:24,02:39:56,02:40:59,02:45:40,03:03:18,03:09:24,203,4.850657108721625,2222,53.09438470728794,369,8.817204301075268,197,6.2381253958201395,1818,57.56808106396454,241,7.631412286257125,5,0.4897159647404506,401,39.27522037218413,128,12.536728697355533
529839864,boston_marathon,2014,2014-04-21,USA,31805,17521,14281,0,14550.294702090867,9571.12,11087.4,12334.0,13934.0,16362.0,04:02:30,02:39:31,03:04:47,03:25:34,03:52:14,04:32:42,7717.0,7730.0,7963.0,8443.0,8337.0,8435.0,8634.0,9426.0,02:08:37,02:08:50,02:12:43,02:20:43,02:18:57,02:20:35,02:23:54,02:37:06,2363,7.42964942619085,18091,56.88099355447257,5976,18.789498506524133,2232,12.738998915587011,11172,63.7634838194167,3353,19.137035557331203,129,0.9032980883691618,6916,48.42798123380715,2623,18.367061130172956
533525659,berlin_marathon,2021,2021-09-26,GER,23099,16728,6358,0,15446.264427031474,9549.98,11680.8,13312.5,15210.0,17425.0,04:17:26,02:39:10,03:14:41,03:41:52,04:13:30,04:50:25,7574.0,7704.0,8003.0,8607.0,8409.0,8585.0,9037.0,9954.0,02:06:14,02:08:24,02:13:23,02:23:27,02:20:09,02:23:05,02:30:37,02:45:54,1222,5.29027230616044,9354,40.49525953504481,2363,10.229880081388805,1151,6.880679100908655,7808,46.67623146819703,1759,10.51530368244859,62,0.9751494180559924,1534,24.127083988675686,604,9.499842717835797
536581452,fukuoka_marathon,2024,2024-11-10,JPN,12212,9972,2239,470,17786.091057975762,10340.0,13110.2,15117.75,17702.5,20510.25,04:56:26,02:52:20,03:38:30,04:11:58,04:55:02,05:41:50,8712.0,8808.0,9153.0,9459.0,10275.0,10340.0,11387.0,11948.0,02:25:12,02:26:48,02:32:33,02:37:39,02:51:15,02:52:20,03:09:47,03:19:08,247,2.022600720602686,2491,20.397969210612512,571,4.675728791352768,242,2.4267950260730045,2321,23.275170477336545,472,4.733253108704372,5,0.2233139794551139,170,7.592675301473872,99,4.421616793211255
584342673,madrid_marathon,2024,2024-04-28,ESP,9129,7742,1386,0,14514.113922664037,10147.4,11680.0,12823.0,14226.0,15964.0,04:01:54,02:49:07,03:14:40,03:33:43,03:57:06,04:26:04,7737.0,7751.0,8084.0,9459.0,8780.0,8850.0,11257.0,11876.0,02:08:57,02:09:11,02:14:44,02:37:39,02:26:20,02:27:30,03:07:37,03:17:56,369,4.042063752875452,4872,53.368386460729546,746,8.17176032424143,364,4.701627486437613,4472,57.762851976233534,635,8.202014983208473,5,0.36075036075036077,400,28.86002886002886,111,8.008658008658008
587315341,prague_marathon,2024,2024-05-05,CZE,6042,4602,1437,0,15489.784508440913,9797.22,12133.1,13498.5,15205.0,17201.0,04:18:10,02:43:17,03:22:13,03:44:58,04:13:25,04:46:41,7724.0,7851.0,8558.0,9326.0,8621.0,8852.0,9517.0,10969.0,02:08:44,02:10:51,02:22:38,02:35:26,02:23:41,02:27:32,02:38:37,03:02:49,194,3.2108573320092684,2383,39.44058258854684,429,7.100297914597816,174,3.780964797913951,2045,44.437201216862235,313,6.8013906996957845,18,1.2526096033402923,336,23.382045929018787,116,8.072372999304106
593227972,tokyo_marathon,2025,2025-03-02,JPN,36173,26704,9427,0,16083.4235203052,9463.880000000001,11673.2,13411.0,15809.0,18704.0,04:28:03,02:37:44,03:14:33,03:43:31,04:23:29,05:11:44,7402.0,7439.0,7558.0,7793.0,8189.0,8218.0,8573.0,9720.0,02:03:22,02:03:59,02:05:58,02:09:53,02:16:29,02:16:58,02:22:53,02:42:00,1918,5.302297293561496,13371,36.96403394797225,4803,13.277859176734028,1773,6.639454763331336,11039,41.3383762732175,3421,12.810814859197123,140,1.4850960008486265,2314,24.546515328312292,1382,14.660019094091439
602858984,stockholm_marathon,2019,2019-06-01,SWE,12351,8791,3558,0,15149.349121528621,10183.0,12129.0,13373.5,14942.0,16815.0,04:12:29,02:49:43,03:22:09,03:42:54,04:09:02,04:40:15,7810.0,7918.0,8430.0,9149.0,9218.0,9392.0,9870.0,10795.0,02:10:10,02:11:58,02:20:30,02:32:29,02:33:38,02:36:32,02:44:30,02:59:55,362,2.930936766253745,5281,42.757671443607805,885,7.1654117075540436,336,3.822090774655898,4360,49.59617790922534,595,6.768285746786486,25,0.7026419336706015,920,25.857223159078135,290,8.150646430578977
615282584,nyc_marathon,2023,2023-11-05,USA,51347,28441,22810,0,16802.588291428907,10181.92,12451.0,14153.0,16367.0,18957.0,04:40:03,02:49:42,03:27:31,03:55:53,04:32:47,05:15:57,7498.0,7631.0,7929.0,8597.0,8843.0,8853.0,9250.0,10317.0,02:04:58,02:07:11,02:12:09,02:23:17,02:27:23,02:27:33,02:34:10,02:51:57,1375,2.677858492219604,14530,28.297661012327886,3363,6.549554988606928,1282,4.5075770894131715,10568,37.15762455609859,1909,6.712140923314933,89,0.39017974572555897,3933,17.242437527400263,1441,6.317404647084612
617784739,itabashi_marathon,2024,2024-03-17,JPN,8796,7820,976,425,16125.81082310141,10040.95,12104.0,13643.0,15768.0,18373.25,04:28:46,02:47:21,03:21:44,03:47:23,04:22:48,05:06:13,8332.0,8611.0,9151.0,9525.0,9876.0,10628.0,11310.0,12251.0,02:18:52,02:23:31,02:32:31,02:38:45,02:44:36,02:57:08,03:08:30,03:24:11,301,3.4220100045475217,3174,36.084583901773534,0,0.0,296,3.7851662404092075,2976,38.05626598465473,0,0.0,5,0.5122950819672131,198,20.28688524590164,0,0.0
