cohort,sex,n_floor,x,dens,lo,hi,n_draws
ALL,M,5,-1.6341021035015513,0.1510968019412411,0.14750385845329297,0.15495593541530636,200
ALL,M,5,-1.5755654452208208,0.1586023886285434,0.15440245752167148,0.1625023700130331,200
ALL,M,5,-1.5170287869400898,0.16634626345224715,0.16190955845851318,0.17044901573607846,200
ALL,M,5,-1.4584921286593593,0.17420532850033754,0.16949891182941604,0.1785863899011611,200
ALL,M,5,-1.3999554703786283,0.1820631649672535,0.17752249445379775,0.1861935955145383,200
ALL,M,5,-1.3414188120978978,0.18987083523910417,0.18574760070966,0.19417718289053496,200
ALL,M,5,-1.2828821538171673,0.19768265001875762,0.19356500295966647,0.2021605410287616,200
ALL,M,5,-1.2243454955364363,0.20563039589175078,0.2012263446695174,0.21060458081326106,200
ALL,M,5,-1.1658088372557058,0.21383971892257064,0.20978289760577987,0.2181698404203324,200
ALL,M,5,-1.1072721789749753,0.22234137006966456,0.21795404412916647,0.22656430810655917,200
ALL,M,5,-1.0487355206942444,0.23104309869397452,0.2264509527510127,0.23567401046920544,200
ALL,M,5,-0.9901988624135138,0.23978442602777253,0.23478190607690722,0.2450617502811276,200
ALL,M,5,-0.9316622041327833,0.24842747256803596,0.24325673991179608,0.25419582689505765,200
ALL,M,5,-0.8731255458520524,0.2569050832709594,0.25140927060611773,0.26268655141027153,200
ALL,M,5,-0.8145888875713219,0.26518701019731766,0.2592576584653693,0.2710547315125887,200
ALL,M,5,-0.7560522292905913,0.27320129228449475,0.26743070815294206,0.2795407908219215,200
ALL,M,5,-0.6975155710098604,0.28078729561237403,0.2749647255181768,0.28663593826343825,200
ALL,M,5,-0.6389789127291299,0.2877219836428554,0.2818881763670084,0.2938938446614815,200
ALL,M,5,-0.5804422544483989,0.2937911282010952,0.2878861595619735,0.2994090861684901,200
ALL,M,5,-0.5219055961676684,0.29884407907704824,0.2923523163708074,0.3047808282478355,200
ALL,M,5,-0.4633689378869379,0.30280060279338933,0.29628646745131704,0.30835096891100566,200
ALL,M,5,-0.40483227960620694,0.3056292237424351,0.29955942190222185,0.3109642457887241,200
ALL,M,5,-0.3462956213254764,0.3073326327303728,0.30193384444921223,0.3123482046844937,200
ALL,M,5,-0.2877589630447459,0.30794994349584437,0.30215544904177477,0.31314028736682314,200
ALL,M,5,-0.22922230476401495,0.30755861636641485,0.30165344567146796,0.31241528796699364,200
ALL,M,5,-0.17068564648328444,0.3062640700713028,0.2995797756933031,0.311764873480948,200
ALL,M,5,-0.11214898820255392,0.3041890303707253,0.29740853619748353,0.3090215013206943,200
ALL,M,5,-0.05361232992182341,0.301478920257189,0.29572749937718823,0.3072201132420016,200
ALL,M,5,0.004924328358907992,0.2983126656479642,0.29249182675771934,0.3040272132548302,200
ALL,M,5,0.0634609866396385,0.2948838593231417,0.28912506779381714,0.30064414919503635,200
ALL,M,5,0.12199764492036902,0.2913335625952036,0.28561673049448527,0.29666905036573665,200
ALL,M,5,0.18053430320109953,0.28766517345535836,0.28173844904356904,0.292973714501842,200
ALL,M,5,0.23907096148183005,0.2837033674014453,0.27827359065859253,0.2887128993264666,200
ALL,M,5,0.29760761976256056,0.2791378750595774,0.27364744674710306,0.2845065741051963,200
ALL,M,5,0.35614427804329196,0.27363910666194446,0.26781609073265317,0.27905341405709533,200
ALL,M,5,0.4146809363240225,0.2669948578150954,0.26130709103042393,0.27219530539912834,200
ALL,M,5,0.473217594604753,0.25921549839164326,0.2543631770915722,0.2644289789178454,200
ALL,M,5,0.5317542528854835,0.2505696751039323,0.24634651879159764,0.2560365773024705,200
ALL,M,5,0.590290911166214,0.24152652537459562,0.23715151044158064,0.24695930237351077,200
ALL,M,5,0.6488275694469454,0.23260552912698332,0.2284250161996384,0.23769612629413137,200
ALL,M,5,0.7073642277276759,0.2241830367093146,0.21972483025107856,0.22915296577336294,200
ALL,M,5,0.7659008860084064,0.21634853464714132,0.21206178291590805,0.22148669246503655,200
ALL,M,5,0.824437544289137,0.20889542699282776,0.2039846798919338,0.21414967101867752,200
ALL,M,5,0.8829742025698675,0.2014577165487036,0.19619903359165242,0.2065065957437981,200
ALL,M,5,0.941510860850598,0.19371369263540003,0.18867656134060792,0.19865491946906458,200
ALL,M,5,1.0000475191313294,0.18553929238462727,0.1807706001567536,0.19049976220513606,200
ALL,M,5,1.05858417741206,0.17703448885829048,0.17232765462305136,0.1819434151025231,200
ALL,M,5,1.1171208356927904,0.16843155216413253,0.16397480032189427,0.17329807481247095,200
ALL,M,5,1.175657493973521,0.1599619001636292,0.15557531964498258,0.1644778447855004,200
ALL,M,5,1.2341941522542514,0.15176684109860125,0.14742400799581967,0.1559934221609054,200
ALL,M,5,1.2927308105349828,0.14389090566918677,0.139528675770576,0.14809353186980867,200
ALL,M,5,1.3512674688157134,0.1363349938745976,0.13258425546533792,0.14008682670233674,200
ALL,M,5,1.4098041270964439,0.12911445038118705,0.12561876909849612,0.13272742375266117,200
ALL,M,5,1.4683407853771744,0.12228001168999367,0.11875456960590751,0.1258926064747091,200
ALL,M,5,1.526877443657905,0.11589651457785083,0.11268876389553525,0.11957495056950142,200
ALL,M,5,1.5854141019386354,0.11000226122453971,0.10709378707828188,0.11384128266185185,200
ALL,M,5,1.6439507602193668,0.10457645268932052,0.10164610066140235,0.10861438122483595,200
ALL,M,5,1.7024874185000973,0.09953185467355936,0.09675753119526051,0.10370202056148803,200
ALL,M,5,1.7610240767808278,0.09473722171215086,0.09179305585980237,0.09887649048575993,200
ALL,M,5,1.8195607350615584,0.09006180832013698,0.08712617774865733,0.0939696218946675,200
ALL,M,5,1.8780973933422889,0.08542278910272047,0.08243898826880225,0.08902450187839818,200
ALL,M,5,1.9366340516230203,0.0808117240818951,0.07778800856600326,0.08431600934468211,200
