cohort,sex,n_floor,x,dens,lo,hi,n_draws
ALL,M,3,2.639073950991788,0.03579188283340626,0.03447165557194997,0.03729311071407267,200
ALL,M,3,2.6976106092725187,0.03282440136327744,0.0314561357071688,0.03418585205368209,200
ALL,M,3,2.7561472675532492,0.030274695229617742,0.028603629022860892,0.03147965957408568,200
ALL,M,3,2.8146839258339797,0.02818448594945374,0.026568410050625116,0.029375652778564812,200
ALL,M,3,2.8732205841147103,0.02646506279644825,0.025068054454624015,0.02765349526684845,200
ALL,M,3,2.9317572423954417,0.02494361118688176,0.023596590542776578,0.026171805984968117,200
ALL,M,3,2.990293900676172,0.023459120430154367,0.022361275184672406,0.02470403845184028,200
ALL,M,3,3.0488305589569027,0.021943623329708263,0.02094145661230399,0.023227941101656664,200
ALL,M,3,3.107367217237633,0.020422420759050482,0.019423417814670323,0.021650294752786965,200
ALL,M,3,3.1659038755183637,0.01894699030257266,0.01804624427131526,0.02008966300845538,200
ALL,M,3,3.2244405337990942,0.01754521856375532,0.016586611701171507,0.018717180710474915,200
ALL,M,3,3.2829771920798256,0.01623291760636813,0.015204483728833292,0.017245789150608815,200
ALL,M,3,3.341513850360556,0.01503755359602964,0.01407261485781868,0.016056186083056766,200
ALL,M,3,3.4000505086412867,0.013976320015854533,0.013062092142178006,0.014952531324371634,200
ALL,M,3,3.458587166922017,0.013014017653543142,0.012031924247074626,0.013996512809988745,200
ALL,M,3,3.5171238252027477,0.012070974660215833,0.011039557052909817,0.013041443867873093,200
ALL,M,3,3.575660483483479,0.01108684846096172,0.01022598884483451,0.011895743417187826,200
ALL,M,3,3.6341971417642096,0.01006891484086139,0.009292331198612811,0.010853817668061781,200
ALL,M,3,3.69273380004494,0.009074975874196084,0.008340481170661619,0.009845725394123435,200
ALL,M,3,3.7512704583256706,0.008161127793524538,0.007443395430589718,0.008858539902768445,200
ALL,M,3,3.809807116606401,0.007351638802921191,0.0067092758271138555,0.007983337152135806,200
ALL,M,3,3.8683437748871317,0.006646787136401154,0.006032868921514027,0.007285292465586155,200
ALL,M,3,3.926880433167863,0.006043397001185315,0.005430566017482555,0.0066856927716109965,200
ALL,M,3,3.9854170914485927,0.005540509006080117,0.004942822109520203,0.006175917921165114,200
ALL,M,3,4.043953749729324,0.005126723814514196,0.004560299990312888,0.005675416641307928,200
ALL,M,5,-4.0926417512922395,0.010078160425636072,0.008889932788095441,0.01112430372861659,200
ALL,M,5,-4.034105093011509,0.010661052793346431,0.009478794091319895,0.01180467160036061,200
ALL,M,5,-3.975568434730778,0.011291817989296002,0.010121588000553738,0.012507574714133328,200
ALL,M,5,-3.9170317764500475,0.012020221978350265,0.010754961964434021,0.013254778203243415,200
ALL,M,5,-3.858495118169317,0.012876379138725712,0.011541617675562867,0.014060914681730555,200
ALL,M,5,-3.799958459888586,0.013867061679893785,0.012459108389102616,0.015144727814855886,200
ALL,M,5,-3.7414218016078555,0.014982176003069708,0.013479950609928763,0.016362937926377046,200
ALL,M,5,-3.682885143327125,0.016207313269394334,0.014637091837176689,0.017653629924590356,200
ALL,M,5,-3.624348485046394,0.017536304038378303,0.01600044048059727,0.018972449196934957,200
ALL,M,5,-3.5658118267656636,0.01897733496971471,0.0172911535076867,0.02049195744031268,200
ALL,M,5,-3.5072751684849326,0.020548874833320303,0.018835102002071964,0.022143100057497866,200
ALL,M,5,-3.448738510204202,0.022267701755531367,0.020502965232574135,0.024017952623274136,200
ALL,M,5,-3.3902018519234716,0.024136987496740425,0.022170426981055476,0.02601258237530373,200
ALL,M,5,-3.3316651936427406,0.02614242928747445,0.024163750921063664,0.02820276091041089,200
ALL,M,5,-3.27312853536201,0.028258054948840518,0.026525260711831717,0.030666547619054414,200
ALL,M,5,-3.214591877081279,0.030456235254520677,0.02856296815152564,0.03297272048404327,200
ALL,M,5,-3.1560552188005486,0.03271507334360878,0.030616117483562532,0.035020747397569746,200
ALL,M,5,-3.097518560519818,0.0350207689922842,0.03296269162950479,0.03726246246473818,200
ALL,M,5,-3.0389819022390876,0.037366972300432705,0.03525232807562579,0.03985870924782347,200
ALL,M,5,-2.9804452439583566,0.03975364948071631,0.03759933279115675,0.04214609538662969,200
ALL,M,5,-2.921908585677626,0.04218676824375817,0.03985081996358067,0.044432028671635884,200
ALL,M,5,-2.863371927396895,0.04468025026220925,0.04248299698970568,0.047093969920307004,200
ALL,M,5,-2.8048352691161647,0.047261380528976916,0.04503927548037367,0.04970964391938962,200
ALL,M,5,-2.746298610835434,0.04997721777347243,0.04743476328339613,0.05264957300228885,200
ALL,M,5,-2.6877619525547036,0.05289538662930946,0.050163065338018974,0.05587585929508157,200
ALL,M,5,-2.6292252942739727,0.05609444418388587,0.053358782762398894,0.05917740155764608,200
ALL,M,5,-2.5706886359932417,0.059647042615733475,0.05707652682215666,0.06255895380428429,200
ALL,M,5,-2.512151977712511,0.06360491863359916,0.06097606983976493,0.06652997764688814,200
ALL,M,5,-2.4536153194317807,0.06799149101867023,0.06521194298872499,0.07079539080927581,200
ALL,M,5,-2.39507866115105,0.07279972643361093,0.06963226169354894,0.07554181764274297,200
ALL,M,5,-2.336542002870319,0.07799027842698834,0.07481014849645502,0.0807178066297228,200
ALL,M,5,-2.2780053445895887,0.08349079433853018,0.07989313417208521,0.08611632816618292,200
