label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,manchester_marathon,GBR,2024,151,2579,1098,-0.011712,-0.010146,-0.001566,-0.001459,-0.262704,0.002367,0.616534,4000,107,111,4,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,hamburg_marathon,GER,2022,205,2336,680,-0.009383,-0.006508,-0.002875,-0.001539,-0.27709,0.002508,0.613885,4000,125,131,6,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,hamburg_marathon,GER,2025,208,2535,772,-0.012246,-0.014668,0.002422,0.001508,0.2715,0.002473,0.609919,4000,101,72,-29,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,vienna_marathon,AUT,2023,21,650,202,0.015951,0.014552,0.001399,0.002233,0.401869,0.00371,0.601786,4000,271,273,2,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,2021,159,274,83,0.00687,0.004011,0.002859,0.004428,0.796955,0.007474,0.592356,4000,235,214,-21,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,madrid_marathon,ESP,2022,51,290,38,0.006611,0.014123,-0.007512,-0.006177,-1.111771,0.01067,0.578883,4000,232,268,36,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,eindhoven_marathon,NED,2019,313,592,116,0.021966,0.020727,0.001239,0.002765,0.497683,0.00478,0.578427,4000,300,298,-2,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,oslo_marathon,NOR,2017,327,492,128,0.009518,0.013258,-0.00374,-0.003217,-0.579007,0.005574,0.577105,4000,245,267,22,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,hannover_marathon,GER,2025,214,415,127,-0.020399,-0.023647,0.003248,0.002398,0.431665,0.004229,0.567115,4000,34,11,-23,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,2019,235,150,83,-0.022532,-0.024386,0.001854,0.003389,0.610064,0.00602,0.563033,4000,23,4,-19,False
