slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline4-gscalar,spline4,scalar,95739.58129227054,-155709.16258454107,5852.991415817611,17886,208,True,60091.104251034136,0.9706673599275386,0.08205776312548814,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline4-gvarying,spline4,varying,90387.67099445617,-145001.34198891235,16578.878788522154,17888,11,True,52384.23997692915,0.8461763609434984,0.08137387479063105,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline4-gvarying,spline4,varying,95766.10570461352,-155758.21140922705,5822.009368207451,17888,129,True,60201.6932925726,0.9724537337065695,0.0819342386941073,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline5-gscalar,spline5,scalar,90389.67209421468,-145007.34418842936,16563.843200467236,17887,9,True,52365.56144659467,0.8458746417464046,0.08138191969384277,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline5-gscalar,spline5,scalar,95758.12360673954,-155744.24721347907,5826.94017541752,17887,179,True,60058.545128868194,0.9701414238917763,0.08212634479862045,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline5-gvarying,spline5,varying,90406.21416347388,-145034.42832694776,16563.859227562527,17890,11,True,52357.99094122682,0.8457523533885799,0.08137263400235403,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline5-gvarying,spline5,varying,95784.55222897918,-155791.10445795837,5807.183096551918,17890,146,True,60051.84101397035,0.970033130566339,0.08215791314380122,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline6-gscalar,spline6,scalar,90390.43244389561,-145006.86488779122,16573.35588964328,17888,10,True,52354.53404498058,0.8456965132372847,0.08138694193254882,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline6-gscalar,spline6,scalar,95758.72618059034,-155743.45236118068,5836.768416253821,17888,254,True,60053.12515511368,0.9700538736348665,0.08213004051093258,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,inf,spline6-gvarying,spline6,varying,90407.34516952216,-145032.69033904432,16583.663992541784,17892,11,True,52344.12701104455,0.8455284056898985,0.08137891077755804,61907,0
Po10_W_14-25_mrc2,Po10_W,anderson,8,spline6-gvarying,spline6,varying,95785.30510497664,-155788.61020995327,5827.74412163283,17892,134,True,60062.98854730166,0.97021319959458,0.08213944832108472,61907,0
