target,kind,fit,n,b_temp,z_temp,b_gain,z_gain,r2
mean_time_sec,metric,OLS,343,0.18301534556915644,,0.12925478380348845,,0.05733074334106347
mean_time_sec,metric,Robust,343,0.16989410068176924,,0.0990765278733352,,0.07358342282414176
p1_time_sec,metric,OLS,343,0.1459956172713134,,0.3245239585220984,,0.14090962588218303
p1_time_sec,metric,Robust,343,0.1599695790584895,,0.27885442352571166,,0.18027473703064667
p10_time_sec,metric,OLS,343,0.18610035406235537,,0.214942616493405,,0.09288914063925335
p10_time_sec,metric,Robust,343,0.19800319137864048,,0.175369998393248,,0.14481827481467568
p25_time_sec,metric,OLS,343,0.16804127151160667,,0.16214471278364928,,0.06274047887631407
p25_time_sec,metric,Robust,343,0.17552350145945056,,0.11254287680765189,,0.10550674350211497
median_time_sec,metric,OLS,343,0.1688175920537277,,0.1136577452004165,,0.04720016919851533
median_time_sec,metric,Robust,343,0.1722766289975231,,0.08196809934901439,,0.07959458749863269
p75_time_sec,metric,OLS,343,0.1926664977476904,,0.08425778480969388,,0.04911225183825796
p75_time_sec,metric,Robust,343,0.17207470505439526,,0.07804375383502454,,0.06435815016110491
m_top1_sec,metric,OLS,343,-0.0377863405436513,,0.2201432163282111,,0.04738384183794253
m_top1_sec,metric,Robust,343,-0.009412047529211216,,0.2216776957099663,,0.07998003894718608
m_top3_sec,metric,OLS,343,-0.05203977576683499,,0.21826712224826383,,0.04692542842184977
m_top3_sec,metric,Robust,343,-0.011617460504650172,,0.2031233460702193,,0.069180444866485
m_top10_sec,metric,OLS,343,0.025834492210739676,,0.1946748721165104,,0.04008146524773215
m_top10_sec,metric,Robust,343,0.0419171122724193,,0.19385257570894526,,0.0477843122172954
m_top25_sec,metric,OLS,343,0.12221960691800755,,0.2471963682163278,,0.08514904265028067
m_top25_sec,metric,Robust,343,0.13922229688302434,,0.23756407827442996,,0.09374120227013683
w_top1_sec,metric,OLS,343,-0.048931087869428014,,0.2385552311599511,,0.05578491112584427
w_top1_sec,metric,Robust,343,-0.006691605274704059,,0.2243941612160361,,0.07416393931009957
w_top3_sec,metric,OLS,343,-0.02330378112880314,,0.17481953815850815,,0.029877128188264268
w_top3_sec,metric,Robust,343,0.01645671161226664,,0.17617664742963257,,0.04696106647712939
w_top10_sec,metric,OLS,343,0.03332816877280116,,0.14934205344906426,,0.02491387359636643
w_top10_sec,metric,Robust,343,0.04537416200826181,,0.14411210257857926,,0.02678009694351391
w_top25_sec,metric,OLS,341,0.06941343773980325,,0.16342224865704486,,0.03492168274787166
w_top25_sec,metric,Robust,341,0.0942116679081031,,0.14845384894274063,,0.04166103676361743
sub3_pct,metric,OLS,343,-0.1110632431278244,,-0.16059757527597662,,0.04350218583147836
sub3_pct,metric,Robust,343,-0.0833204857974634,,-0.08819922500106399,,0.1169409580619305
sub4_pct,metric,OLS,343,-0.2516553035430198,,-0.13013798227365272,,0.09013645524346292
sub4_pct,metric,Robust,343,-0.2613714584625469,,-0.12285838481212727,,0.11069571352708352
bq_pct,metric,OLS,343,-0.18562897337517842,,-0.17838176544672688,,0.07625771299693995
bq_pct,metric,Robust,343,-0.15141467586951504,,-0.1678519577645439,,0.14997216000556313
m_sub3_pct,metric,OLS,343,-0.12719958488354846,,-0.1518130349365238,,0.045046747104338314
m_sub3_pct,metric,Robust,343,-0.1046857849549984,,-0.11070800408747275,,0.11635549234409637
m_sub4_pct,metric,OLS,343,-0.2524186235244093,,-0.08436936983589155,,0.07725166122746674
m_sub4_pct,metric,Robust,343,-0.29551961855803155,,-0.1159728788607469,,0.12998948371744945
m_bq_pct,metric,OLS,343,-0.1684310362586864,,-0.16160167354006869,,0.06268729800896522
m_bq_pct,metric,Robust,343,-0.1436404687907062,,-0.1651799253879877,,0.154786546043453
w_sub3_pct,metric,OLS,343,-0.02028581891446497,,-0.09725685034103232,,0.010465012499787374
w_sub3_pct,metric,Robust,343,-0.007843160818666987,,-0.018916394401919803,,0.023065566850584696
w_sub4_pct,metric,OLS,343,-0.16717758525057191,,-0.1176052674964011,,0.04770476553530312
w_sub4_pct,metric,Robust,343,-0.16765312726206189,,-0.11080796453735943,,0.06886750502333028
w_bq_pct,metric,OLS,343,-0.15107767568403582,,-0.13468434686310252,,0.04709675682720038
