slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
Po10_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,1,141400.0928141186,21077.06764348445,0.8662639284651041,0.09422220029290161,24331,0,201
Po10_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,2,130499.08851777097,18105.849875628686,0.7420430276897002,0.09370054108561428,24400,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,2,141150.01445869997,21346.044055671577,0.874837871134081,0.09453235320631889,24400,0,330
Po10_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,3,130484.52318438806,18264.285392496757,0.7509368223212218,0.09338370506648824,24322,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,3,141293.93150049355,21436.009978870767,0.8813424051834046,0.0936805935997263,24322,0,198
Po10_M_14-25_mrc2,anderson,inf,poly3-gscalar,poly3,scalar,4,130378.93659675888,18533.543163463466,0.7644274350778909,0.09291168754662742,24245,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gscalar,poly3,scalar,4,141334.08421469058,21337.83854744408,0.8800923302719769,0.09350870327569279,24245,0,252
Po10_M_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,0,130479.82468579785,18518.031601102088,0.7645129056684868,0.09287218671586557,24222,0,12
Po10_M_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,0,141403.5012864348,21427.479342958617,0.884628822680151,0.09364374128942023,24222,0,214
Po10_M_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,1,130644.81999111162,18141.695755080913,0.7456206384892077,0.09352047490321456,24331,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,1,141445.58033827637,21141.336338361034,0.8689053609946584,0.0940272580622873,24331,0,198
Po10_M_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,2,130530.20978882816,18116.57589536642,0.7424826186625582,0.0936654549946184,24400,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,2,141193.40080110566,21353.834500965426,0.875157151678911,0.09455954394154097,24400,0,179
Po10_M_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,3,130522.54322738123,18257.267291517604,0.7506482728195709,0.09337624433931453,24322,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,3,141345.1788330737,21508.61874484172,0.8843277174920532,0.09342124234607446,24322,0,160
Po10_M_14-25_mrc2,anderson,inf,poly3-gvarying,poly3,varying,4,130406.85497480017,18548.09004235636,0.7650274300827536,0.09287151376957496,24245,0,11
Po10_M_14-25_mrc2,anderson,8,poly3-gvarying,poly3,varying,4,141375.82437859022,21394.224979585197,0.8824180234928932,0.09331911443306566,24245,0,192
Po10_M_14-25_mrc2,anderson,inf,poly4-gscalar,poly4,scalar,0,130449.10494843542,18525.035548599666,0.7648020621170698,0.09287540996811917,24222,0,11
Po10_M_14-25_mrc2,anderson,8,poly4-gscalar,poly4,scalar,0,141356.66383516561,21405.64744333484,0.8837274974541673,0.09372442913990829,24222,0,186
Po10_M_14-25_mrc2,anderson,inf,poly4-gscalar,poly4,scalar,1,130618.92038013216,18138.036768481965,0.7454702547565643,0.09354045683390626,24331,0,11
Po10_M_14-25_mrc2,anderson,8,poly4-gscalar,poly4,scalar,1,141415.31560212647,21084.82995236834,0.8665829580522109,0.09422148051567987,24331,0,227
Po10_M_14-25_mrc2,anderson,inf,poly4-gscalar,poly4,scalar,2,130511.3627566081,18101.432724525876,0.7418619969067982,0.09370177077900949,24400,0,11
Po10_M_14-25_mrc2,anderson,8,poly4-gscalar,poly4,scalar,2,141167.00716927875,21314.287324733734,0.8735363657677759,0.09469596537647121,24400,0,258
