slug,slice,solver,nu,cand,basis,gamma_form,full_loglik,full_aic,full_bic,n_params,n_iter,converged,cv_logdens,cv_per_cell,heldout_rmse,n_test_total,n_orphan_total
Po10_M_14-25_mrc2,Po10_M,anderson,inf,spline3-gvarying,spline3,varying,157272.1287024417,-249988.2574048834,63361.21287790657,32279,10,True,91596.94093045255,0.7537602117384179,0.09326610665596254,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,spline3-gvarying,spline3,varying,169479.3383312488,-274402.6766624976,38946.79362029239,32279,275,True,107021.70528662844,0.8806921106536244,0.09373760896120904,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,spline4-gscalar,spline4,scalar,157269.14059411638,-249982.28118823277,63367.189094557194,32279,11,True,91524.74001915003,0.7531660633570608,0.09329127891636373,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,spline4-gscalar,spline4,scalar,169459.1407454611,-274362.2814909222,38987.18879186775,32279,199,True,106467.73684909439,0.8761334500419222,0.09402317393388351,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,spline4-gvarying,spline4,varying,157310.777758506,-250061.55551701202,63307.33043405245,32281,11,True,91546.62910270042,0.7533461907727158,0.09326575769417848,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,spline4-gvarying,spline4,varying,169519.57529113008,-274479.15058226016,38889.73536880431,32281,171,True,106721.58152292222,0.8782223627626911,0.09386189774756455,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,spline5-gscalar,spline5,scalar,157286.18286291178,-250014.36572582356,63344.81239110365,32280,11,True,91527.32131620332,0.753187305103714,0.09328301015986284,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,spline5-gscalar,spline5,scalar,169475.71324835514,-274393.4264967103,38965.751620216935,32280,226,True,106671.68331407355,0.8778117455075177,0.09387220592861903,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,inf,spline5-gvarying,spline5,varying,157329.0584461711,-250094.11689234222,63294.18472699681,32283,11,True,91544.70168091464,0.7533303298297782,0.0932583845816454,121520,0
Po10_M_14-25_mrc2,Po10_M,anderson,8,spline5-gvarying,spline5,varying,169536.45789373355,-274508.9157874671,38879.38583187194,32283,156,True,106747.88052389477,0.8784387798213855,0.09385315812371367,121520,0
